TF,PAvsCtrl,OAvsCtrl,PAOAvsCtrl,OAvsPAOA,PAvsPAOA
Ar,0.37396834688814784,-1.0411897026779562,1.199968577481164,-1.6202702076218978,-0.15228092004032612
Arid2,1.1811199604260574,2.3315681572929656,0.8821303012787157,2.006242843213068,0.6743425051174821
Ascl1,-2.2945720333988477,-2.8088631318160524,1.42824038878122,-3.7423294581312794,-2.8021446039536375
Atf2,2.513501595907939,1.2424788396082922,2.0146613884504623,0.30214350022066244,1.1815056910561663
Atf3,-3.53895157845643,2.70165205453605,-0.9652865682054818,3.692286842025905,-2.8680001618079936
Atf7,1.6685159379057592,-1.2032561441300087,0.5043153935045912,-1.6169093598474478,1.613141600382154
Bach1,3.5876675604093,-0.6029496927359953,0.5142312234791253,-0.8051926416469676,3.194347710493278
Bach2,1.062360153591306,-3.0320170317608355,-2.7501136042825616,-1.4183859829210688,2.3651019583211634
Batf,1.2329885938600997,-1.0677452353242496,1.0531010964403595,-1.8231389722716127,0.7280350002832031
Bcl11a,0.6088632525373255,-0.8207182194154868,0.9190239281168288,-1.5948281011741183,-0.08359746858330991
Bcl6,-1.6361446692588513,1.6214589289024748,-1.0661110937939637,2.19145360616118,-1.2931215238741218
Bhlhe22,0.19200101535495362,-1.9287287754966755,-2.051379228993825,-0.42405911724694356,1.0454225471601863
Bhlhe40,0.4744683864739763,0.2973166456362107,-0.15861342696376057,0.5766506352536054,0.668568910987001
Cebpa,-1.7719156826331677,-0.014033688926393116,-0.09602258979728867,0.4782484642504513,-0.09941900952668657
Cebpb,-0.2646113319126708,-0.3995318544316608,-0.71812778860683,0.41163118461872433,0.0289890537053672
Cebpg,1.9369195532805188,0.4910937159680607,0.4630412201817525,0.3926434173482589,1.7007990984688406
Clock,-0.8828023069752159,-2.6077723996240785,-1.227935266162389,-2.150812083584047,-0.1350026167795589
Creb1,0.9683328950053319,3.734485002069319,2.8750588512745456,2.06748816597945,-0.6653295440033906
Creb3,-0.5901735998850173,-0.43196223434088094,-0.9638747247201508,-0.07062182581102147,-0.3509131251901721
Creb3l1,-0.571003694316434,0.6408693252115418,1.7505557281934898,-1.122457934573541,-1.9039081892226506
Crem,0.9372479931387994,-0.44721117102270075,-0.7207661811345913,-0.4820084321783458,1.2490314123635162
Ctcf,-1.736396001012844,-0.8380883746608081,-1.2877633720903436,-0.19055900982708976,-1.4930741967564163
