"tf" "lipid" "cor"
"HNF4A" "PA 16:0;0_18:2;0" 0.999732100807162
"HNF4A" "PC 18:0;0_18:2;0" 0.999513768915644
"ATF6" "Cer 40:2;2" 0.999343371230636
"HNF4A" "PC O-16:1;0/16:0;0" 0.999299719460274
"HNF4A" "PC 16:0;0_16:2;0" -0.999169739254968
"HNF4A" "LPC 18:1;0" -0.999064234343463
"HNF4A" "PE O-18:1;0/20:5;0" 0.998982108203552
"NR1H3" "PC 16:0;0_22:3;0" -0.998948964735419
"HNF4A" "PE 18:0;0_18:2;0" 0.998727505131541
"HNF4A" "PC O-16:1;0/18:2;0" 0.998468181412868
"HNF4A" "DAG 18:1;0_20:3;0" -0.998453486398303
"HNF4A" "PC O-17:2;0/17:1;0" 0.998387943502018
"HNF4A" "PC 18:1;0_18:1;0" -0.998072548636169
"ATF6" "PI 18:1;0_20:4;0" -0.997708138839162
"ATF6" "PC 16:0;0_16:0;0" 0.997519302865182
"HNF4A" "PE O-17:1;0/16:1;0" 0.99751889434537
"HNF4A" "PC O-16:0;0/16:1;0" 0.99705135181214
"ATF6" "PC O-17:2;0/18:0;0" -0.996725757507504
"HNF4A" "PE O-17:0;0/18:2;0" 0.996557189564657
"ATF6" "PI 18:0;0_18:1;0" -0.996386741526514
"HNF4A" "PE 16:1;0_20:3;0" 0.996341542585825
"HNF4A" "PE O-16:1;0/18:2;0" 0.996280052213259
"HNF4A" "PE 18:1;0_18:1;0" -0.996260603701731
"HNF4A" "PC 18:0;0_19:1;0" 0.996227181295055
"HNF4A" "PE O-16:1;0/24:5;0" 0.996068521956812
"HNF4A" "LPI 18:0;0" 0.995944084212403
"NR1H3" "PE O-16:1;0/18:1;0" 0.995372393391117
"HNF4A" "PI 16:0;0_16:1;0" 0.995341345004062
"NR1H3" "PC O-16:1;0/20:4;0" -0.995115153494076
"HNF4A" "DAG 18:1;0_18:1;0" -0.99501136882245
"ATF6" "PE 18:0;0_22:6;0" 0.994783521385894
"HNF4A" "PC O-17:1;0/16:1;0" 0.994416663295248
"HNF4A" "PC 17:0;0_18:2;0" 0.994348031453565
"HNF4A" "PC O-17:0;0/21:3;0" 0.993835064031178
"HNF4A" "PC 18:2;0_18:2;0" 0.992674810048645
"HNF4A" "PE 16:1;0_22:5;0" 0.992205051504378
"HNF4A" "PC O-18:2;0/18:1;0" -0.992149689410603
"HNF4A" "PE 18:1;0_22:1;0" -0.991930725243901
"HNF4A" "PS 18:0;0_22:6;0" 0.991617475216791
"HNF4A" "DAG 18:0;0_20:4;0" 0.991582278819152
"HNF4A" "PE O-17:1;0/17:0;0" 0.991049014475939
"HNF4A" "PG 18:1;0_20:4;0" -0.99102975420569
"ATF6" "PI 18:1;0_20:5;0" -0.990831478569383
"HNF4A" "PS 16:0;0_20:4;0" 0.990491676053574
"HNF4A" "PC 18:2;0_20:3;0" 0.990259875922589
"HNF4A" "PA 16:1;0_18:0;0" 0.990250279883101
"HNF4A" "PE O-18:1;0/16:1;0" 0.990000521671591
"HNF4A" "PA 16:1;0_18:1;0" 0.989734901062307
"HNF4A" "PE O-16:0;0/16:1;0" 0.989286418334913
"HNF4A" "PE O-17:0;0/17:1;0" 0.989232695218482
"HNF4A" "Cer 42:1;2" 0.989173064294002
"HNF4A" "PE O-16:1;0/24:3;0" 0.988762917085149
"HNF4A" "PC 18:0;0_18:3;0" 0.988471831753141
"HNF4A" "PC 16:1;0_19:1;0" 0.988149096178431
"HNF4A" "PC 17:1;0_18:1;0" -0.987498143691365
"HNF4A" "PE 17:0;0_18:2;0" 0.98707499993286
"ATF6" "PE O-17:1;0/18:1;0" -0.986584886587502
"ATF6" "PC O-16:0;0/17:1;0" -0.986319210310569
"HNF4A" "PE O-16:1;0/24:4;0" 0.986054795215673
"HNF4A" "PC O-16:0;0/18:2;0" 0.985861505338786
"HNF4A" "PC 18:1;0_20:3;0" -0.984674414336934
"HNF4A" "LPE 18:0;0" 0.984458312845243
"HNF4A" "PE 18:1;0_19:3;0" -0.983750494695104
"XBP1" "PE 17:1;0_18:1;0" -0.982598344216915
"HNF4A" "PS 16:0;0_20:2;0" 0.98235258799934
"HNF4A" "DAG 14:0;0_16:0;0" 0.982240414924177
"ATF6" "PI 18:1;0_20:3;0" -0.98213349733172
"HNF4A" "PS 16:0;0_20:3;0" 0.982030014676738
"HNF4A" "PE 16:1;0_24:0;0" 0.980481511085086
"HNF4A" "PE O-18:2;0/18:1;0" -0.98047418455888
"HNF4A" "PC O-18:2;0/16:0;0" 0.979876383879885
"NR1H3" "LPA 18:1;0" 0.979632870806928
"ATF6" "PI 18:1;0_19:3;0" -0.979545297177056
"ATF6" "PG 18:1;0_20:1;0" -0.979323659056406
"NR1H3" "PG 18:2;0_20:4;0" 0.978605697885225
"ATF6" "PC O-16:2;0/16:0;0" 0.978581455009955
"ATF6" "PE O-16:1;0/22:6;0" 0.97832370091188
"ATF6" "PE O-16:0;0/22:4;0" 0.978068161862861
"HNF4A" "PE O-16:1;0/19:3;0" 0.977042297640921
"HNF4A" "PE 17:0;0_18:1;0" -0.976908065506936
"HNF4A" "PE 18:1;0_20:1;0" -0.97677019686472
"ATF6" "PC O-17:1;0/16:0;0" -0.976592863996552
"ATF6" "PE O-16:0;0/22:6;0" 0.976234497119779
"HNF4A" "PC O-17:0;0/19:2;0" 0.976169198519067
"ATF6" "LPI 20:4;0" 0.976052850552864
"HNF4A" "PC 16:0;0_19:1;0" 0.975875424124037
"HNF4A" "PC 20:3;0_20:3;0" 0.97560719357107
"HNF4A" "PC O-17:0;0/17:1;0" 0.975582098149449
"HNF4A" "PE 16:0;0_18:2;0" 0.975258990815277
"NR1H3" "PC 20:3;0_20:4;0" 0.974390513805174
"HNF4A" "PE 18:1;0_18:2;0" -0.974182024098265
"HNF4A" "PC 16:0;0_22:6;0" 0.973849203064624
"NR1H3" "PC O-16:2;0/17:1;0" 0.973690400781045
"ATF6" "PC 14:0;0_18:2;0" -0.97351808687604
"HNF4A" "PE 18:0;0_22:1;0" 0.973384993979555
"HNF4A" "PE O-16:1;0/24:2;0" 0.973281161184545
"HNF4A" "PG 16:1;0_20:2;0" 0.973248522046676
"ATF6" "PC O-17:2;0/20:4;0" -0.972779477557676
"ATF6" "PC 18:1;0_19:1;0" -0.972412471508014
"HNF4A" "PE O-18:0;0/16:1;0" 0.9720132587782
"HNF4A" "PE 18:1;0_22:4;0" -0.97138134822487
"NR1H3" "PE 18:0;0_19:3;0" -0.971166439397981
"HNF4A" "PC 14:0;0_20:4;0" 0.970915420554229
"ATF6" "PI 18:1;0_20:1;0" -0.970628622322279
"HNF4A" "PC 18:0;0_22:6;0" 0.970069852946187
"ATF6" "PC O-17:1;0/18:1;0" -0.968114956768957
"HNF4A" "PS 16:1;0_18:0;0" 0.967407999631847
"HNF4A" "LPE O-16:1;0" 0.967388630940667
"HNF4A" "DAG 18:0;0_18:1;0" -0.96737192274915
"HNF4A" "PC O-18:2;0/16:1;0" 0.965938100978135
"HNF4A" "PC 16:0;0_18:2;0" 0.965132794467566
"HNF4A" "PC O-18:2;0/18:2;0" 0.964794224146573
"HNF4A" "PS 16:1;0_24:0;0" 0.96300244737645
"HNF4A" "LPE O-18:1;0" 0.962759068577654
"ATF6" "SM 34:2;2" 0.961688357416864
"HNF4A" "PI 16:1;0_18:0;0" 0.961533653464725
"ATF6" "PC O-16:1;0/20:3;0" 0.961413507918516
"ATF6" "PC O-18:1;0/20:3;0" -0.960832333956081
"NR1H3" "PE O-16:0;0/20:1;0" 0.957301398659562
"ATF6" "PC O-18:1;0/18:1;0" -0.957073576141219
"HNF4A" "PC O-17:1;0/18:2;0" 0.956888428106039
"HNF4A" "PE 18:0;0_18:3;0" 0.956717633939335
"HNF4A" "PE 16:1;0_20:2;0" 0.956039321688922
"NR1H3" "LPG 18:1;0" 0.954651282172551
"HNF4A" "PC O-17:0;0/19:1;0" 0.954613923229605
"HNF4A" "PC 16:0;0_18:3;0" 0.953706278647839
"HNF4A" "PC 16:0;0_19:2;0" 0.953539998555069
"ATF6" "PC O-18:1;0/17:1;0" -0.953359811866913
"ATF6" "PE 18:1;0_22:0;0" -0.952951943894929
"HNF4A" "PE 18:1;0_20:3;0" -0.952435497953967
"ATF6" "PC O-17:0;0/16:2;0" -0.95243126977303
"HNF4A" "PE O-18:1;0/18:3;0" 0.951899240403195
"HNF4A" "PC O-18:0;0/20:5;0" 0.951695692655146
"HNF4A" "PC O-17:1;0/19:1;0" 0.951589630337926
"HNF4A" "PE O-17:0;0/22:5;0" 0.951109936185666
"HNF4A" "PG 16:1;0_22:2;0" 0.950916726070792
"HNF4A" "PE O-17:0;0/22:6;0" 0.95079663158481
"HNF4A" "LPA 18:0;0" 0.950793647618386
"HNF4A" "PE O-17:1;0/18:2;0" 0.950679484003643
"HNF4A" "Cer 40:1;2" 0.950140867031456
"HNF4A" "PC O-17:2;0/16:0;0" -0.949998398268401
"HNF4A" "PG 16:1;0_20:3;0" 0.949802216007203
"HNF4A" "PE 20:1;0_20:3;0" -0.949758763238882
"ATF6" "PI 18:1;0_18:2;0" -0.948733311679469
"ATF6" "PG 16:0;0_20:3;0" 0.948693829777792
"HNF4A" "PE 16:1;0_18:0;0" 0.948572277487031
"HNF4A" "PS 16:1;0_22:0;0" 0.948231314352809
"ATF6" "PA 18:1;0_18:2;0" -0.948134631917068
"XBP1" "PE 20:1;0_20:4;0" -0.946150080774249
"HNF4A" "PE O-16:1;0/16:2;0" -0.945904317494639
"HNF4A" "PG 18:1;0_22:5;0" -0.94570478597079
"ATF6" "PG 16:0;0_20:2;0" 0.945332057368488
"ATF6" "PE O-18:1;0/20:1;0" -0.945188539086977
"HNF4A" "PE O-17:2;0/20:1;0" -0.945084710256825
"HNF4A" "PE O-16:1;0/19:1;0" 0.945046534232255
"ATF6" "PC 17:0;0_20:4;0" 0.945033381802858
"HNF4A" "PC 16:0;0_16:1;0" 0.944790267940704
"HNF4A" "PC 16:0;0_22:5;0" 0.94435802577289
"HNF4A" "PE 16:0;0_16:1;0" 0.944066240581089
"HNF4A" "PC 16:1;0_17:0;0" 0.944044575866055
"ATF6" "PE O-16:0;0/22:3;0" 0.943568575074261
"ATF6" "PG 17:0;0_18:1;0" -0.943518270275001
"ATF6" "PC O-16:1;0/17:1;0" -0.942987929259078
"ATF6" "PC 18:1;0_19:0;0" -0.942007327239463
"ATF6" "PC 18:0;0_20:3;0" 0.941705072946719
"XBP1" "PI 16:0;0_18:1;0" 0.941466247152135
"HNF4A" "PE 16:1;0_18:1;0" 0.941320986285984
"HNF4A" "PI 16:0;0_18:2;0" 0.940980645481835
"HNF4A" "PC 16:0;0_21:3;0" 0.940719153403893
"ATF6" "PC O-16:1;0/17:0;0" -0.940120589289065
"HNF4A" "PE 22:3;0_22:5;0" 0.939197416249004
"HNF4A" "DAG 16:0;0_16:1;0" 0.936446945608045
"ATF6" "PE 18:2;0_20:1;0" -0.935601083666956
"HNF4A" "PS 18:0;0_18:2;0" 0.935153538170314
"ATF6" "PE O-16:0;0/22:5;0" 0.934899035664585
"HNF4A" "PI 16:0;0_20:1;0" 0.93480506159209
"HNF4A" "PE O-17:0;0/20:3;0" 0.934785622975337
"HNF4A" "PE O-17:1;0/20:5;0" 0.9345359637825
"HNF4A" "Sulf 38:0;2" 0.933157142546018
"HNF4A" "PC O-16:0;0/22:5;0" 0.932663442424577
"ATF6" "Cer 34:1;2" 0.932520875664248
"ATF6" "PE O-16:1;0/18:3;0" 0.931791184052702
"ATF6" "PI 18:1;0_22:5;0" -0.93130745089895
"HNF4A" "PE O-16:1;0/16:1;0" 0.930777933885071
"NR1H3" "PC 18:1;0_20:5;0" -0.92982278406331
"HNF4A" "PC 16:1;0_18:0;0" 0.929596308013003
"ATF6" "PI 18:1;0_22:4;0" -0.928062998730944
"HNF4A" "PA 18:1;0_18:1;0" -0.927594636302717
"HNF4A" "PC O-16:0;0/16:0;0" 0.927511988067813
"HNF4A" "PE O-17:0;0/19:1;0" 0.926531542101324
"ATF6" "PE O-16:2;0/16:1;0" 0.925922950674832
"ATF6" "PE O-17:1;0/20:2;0" -0.924661426351907
"HNF4A" "PA 17:1;0_17:1;0" 0.924256071721864
"HNF4A" "PI 18:1;0_18:1;0" -0.92414196953765
"HNF4A" "PE O-18:1;0/18:1;0" -0.924008733510325
"ATF6" "PC 17:0;0_20:2;0" -0.923891255034673
"ATF6" "PE O-17:1;0/20:4;0" -0.922478842875945
"HNF4A" "PC O-16:2;0/17:0;0" -0.921882085352594
"XBP1" "PE 15:1;0_24:5;0" -0.921658861282723
"XBP1" "PC 16:0;0_20:1;0" -0.921275106682619
"HNF4A" "PS 17:1;0_18:0;0" 0.921228153435939
"ATF6" "PS 18:1;0_18:1;0" -0.921182983630213
"ATF6" "LPC 16:0;0" 0.920340987579659
"HNF4A" "PC 18:1;0_22:6;0" -0.920073115808122
"XBP1" "PC 15:0;0_17:1;0" -0.920037925912147
"HNF4A" "PI 16:0;0_20:5;0" 0.91990644423027
"HNF4A" "PC 16:1;0_16:1;0" 0.919307164622369
"ATF6" "PC 16:0;0_20:4;0" 0.918778187269517
"HNF4A" "PG 18:1;0_20:3;0" -0.918517426587129
