from,to,mor,confidence
Adnp,Cers6,1,D
Aebp2,Sgms1,1,E
Arid5a,Cers5,-1,E
Arid5a,Pla2g4a,-1,E
Arid5a,Pla2g7,-1,E
Arntl2,Sptlc1,1,E
Atf5,Dgat2,1,E
Atf5,Pemt,1,E
Atf6b,Cers5,1,E
Barx2,Cds1,1,E
Batf3,Agpat4,1,E
Bbx,Cers2,1,E
Bbx,Lpgat1,1,E
Bbx,Sgms1,1,E
Bnc2,Agpat4,1,E
Cdc5l,Cers6,1,E
Cdc5l,Sptlc1,1,E
Cic,Mboat7,1,E
Creb3l4,Cers4,1,E
Crebl2,Sgms1,1,E
Cux2,Pla2g7,1,E
Cxxc1,Dgat1,1,E
Dmrta1,Cds1,1,E
E4f1,Dgat1,1,E
Ebf2,Plpp3,1,E
Ebf4,Agpat4,1,E
Ebf4,Cers4,1,E
Ebf4,Cers5,1,E
Elf4,Cers2,1,E
Elk3,Agpat4,-1,E
Elk3,Lpgat1,-1,E
Elk3,Pla2g4a,-1,E
Elk3,Sptlc1,-1,E
Esrrg,Cds1,1,E
Etv3,Sptlc1,-1,E
Foxn2,Lpgat1,1,E
Foxp4,Cers2,-1,E
Gatad2b,Cers5,-1,E
Gcm1,Cers4,1,E
Gcm1,Pemt,1,E
Glis1,Sgms2,1,E
Glis2,Agpat4,1,E
Glis2,Cers5,1,E
Glis3,Cers2,1,E
Gmeb1,Cers5,1,E
Gtf2b,Pla2g4a,1,D
Gtf2b,Sgms1,1,D
Gtf3a,Pemt,1,E
Hes6,Dgat1,1,E
Hmg20b,Dgat1,1,E
Hmg20b,Mboat7,1,E
Hmg20b,Pemt,1,E
Irf6,Cds1,1,E
Irx3,Cds1,1,E
Klf16,Mboat7,1,E
Mbd3,Cers2,1,D
Mbd3,Dgat1,1,D
Meis3,Agpat4,1,E
Meis3,Cds1,1,E
Meis3,Cers5,1,E
Meis3,Sptlc1,1,E
Mesp1,Dgat1,1,E
Mesp1,Dgat2,1,E
Mlx,Cers2,1,E
Mlxipl,Dgat1,-1,E
Mlxipl,Dgat2,-1,E
Msx1,Agpat4,-1,E
Msx1,Plpp3,-1,E
Msx1,Sgms2,-1,E
Myc,Pla2g4a,1,A
Mycl,Cds1,1,E
Neurod2,Pla1a,1,E
Nfatc3,Cers2,1,E
Nfatc3,Cers6,1,E
Nfatc3,Sgms1,1,E
Nfatc3,Sptlc1,1,E
Nfatc4,Agpat4,1,E
Nfatc4,Cers5,1,E
Nhlh1,Agpat4,1,E
Osr2,Plpp3,1,E
Ovol2,Cds1,-1,E
Patz1,Cers4,-1,E
Prdm4,Cers2,1,E
Prdm4,Sptlc1,1,E
Pura,Sgms1,1,E
Sox12,Mboat7,1,E
Sox15,Cds1,1,E
Sox15,Cers4,1,E
Sox15,Pemt,1,E
Sox8,Pla2g4a,1,E
Sp110,Cers5,1,E
Sp100,Pla2g7,1,E
Sp6,Dgat2,1,E
Tbx18,Pla2g4a,-1,E
Tbx2,Pla1a,1,E
Tbx6,Cers4,1,E
Tbx6,Dgat1,1,E
Tcf21,Pla2g4a,1,E
Tcf7l1,Agpat4,1,E
Tcf7l1,Cers6,1,E
Tfe3,Cers2,1,E
Tfe3,Cers5,1,E
Tfe3,Mboat7,1,E
Tfeb,Cers4,1,E
Tfeb,Mboat7,1,E
Tfec,Pla2g4a,1,E
Tfec,Pla2g7,1,E
Tgif1,Cers2,1,E
Thap1,Sgms1,1,C
Thap4,Dgat1,1,E
Thap4,Pemt,1,E
Tsc22d1,Dgat2,-1,E
Tshz2,Cers5,1,E
Tshz2,Pla2g4a,1,E
Tshz3,Agpat4,1,E
Ubp1,Lpgat1,1,E
Ubp1,Sgms1,1,E
Vezf1,Cers2,1,E
Vezf1,Cers6,1,E
Vezf1,Sgms1,1,E
Zbtb2,Sgms1,1,E
Zbtb24,Sptlc1,1,E
Zbtb41,Sgms1,1,E
Zbtb44,Sgms1,1,E
Zbtb46,Dgat1,1,E
Zfp651,Cds1,1,E
Zfp651,Cers2,1,E
Zbtb7b,Cers6,-1,E
Zbtb7b,Dgat2,-1,E
Zbtb7c,Cds1,1,E
Zfp42,Sgms1,1,E
Zfp91,Cers6,1,E
Zfp91,Lpgat1,1,E
Zfp91,Sptlc1,1,E
Zfp92,Agpat4,1,E
Zfpm1,Mboat7,1,E
Zfpm2,Sgms1,1,E
Zgpat,Dgat1,-1,E
Zfp148,Lpgat1,-1,E
Zfp148,Sgms1,-1,E
Zfp148,Sptlc1,-1,E
Zfp13,Dgat1,1,E
Zfp13,Mboat7,1,E
Zfp219,Dgat1,1,E
Zfp219,Pemt,1,E
Zfp276,Cers5,1,E
Zfp276,Dgat1,1,E
Zfp286,Cers5,1,E
Zfp296,Cds1,1,E
Zfp296,Mboat7,1,E
Zfp316,Dgat1,1,E
Zfp358,Sptlc1,1,E
Zfp398,Cers2,1,E
Zfp414,Pemt,1,E
Zfp423,Pla2g4a,1,E
Zfp444,Sptlc1,1,E
Zfp467,Dgat1,1,E
Zfp467,Mboat7,1,E
Zfp469,Sgms2,1,E
Zfp512,Cers5,1,E
Zfp513,Dgat1,1,E
Zfp575,Dgat1,1,E
Zfp579,Mboat7,1,E
Zfp644,Agpat4,1,D
Zfp644,Plpp3,1,D
Zfp653,Dgat1,-1,E
Zfp664,Cers6,1,E
Zfp664,Lpgat1,1,E
Zfp672,Dgat1,1,E
Zfp7,Cers5,1,E
Zfp768,Dgat1,1,E
Zfp768,Mboat7,1,E
Zfp770,Cers5,1,E
Zfp770,Cers6,1,E
Zfp770,Sptlc1,1,E
Zfp386,Cers4,1,E
Zfp141,Cers4,1,E
Zfp719,Cers4,1,E
B020011L13Rik,Cers4,1,E
Zfp787,Dgat1,1,E
Zfp787,Mboat7,1,E
Zfp800,Sptlc1,1,E
