"ATF4" "ATF6" "HNF4A" "NR1H3" "XBP1"
"CE 14:0;0" 0.622645086726118 0.453982188136662 0.93532429641538 -0.14971075701077 -0.55945424286979
"CE 16:0;0" 0.818026014341926 0.880302005462644 0.770611760942359 -0.0605543682323993 0.193868458571756
"CE 16:1;0" 0.768386832476872 0.91254644446599 0.898783568195021 -0.210804945499125 -0.0286671590120032
"CE 18:0;0" 0.311408224811629 0.856488169260886 0.656484515504854 -0.769591402939348 -0.36280940518814
"CE 18:1;0" -0.445397561969581 -0.611212599918318 -0.885506444454994 0.392367542628036 0.527175200608261
"CE 18:2;0" -0.856965293347094 -0.219531122182443 -0.573086128378292 -0.726840820505362 -0.332757929811877
"CE 20:1;0" -0.694786490048305 -0.921147809519796 -0.906179265640022 0.299264868968312 0.10131948325661
"CE 20:2;0" -0.865566231600495 -0.602508805510752 -0.865648608018611 -0.323989609605993 -0.136264903134451
"CE 20:3;0" -0.865566231600495 -0.602508805510752 -0.865648608018611 -0.323989609605993 -0.136264903134451
"Cer 32:1;2" -0.72253302617483 -0.458874248636796 -0.959752415707034 0.0528602449520457 0.495446188029335
"Cer 34:0;2" -0.0749332508524034 0.733023292160745 0.204409789113637 -0.880527186827365 -0.14153602697516
"Cer 34:0;3" 0.736990984093143 0.466149563412731 0.963884061806946 -0.0506287809533926 -0.490447753658365
"Cer 34:1;2" 0.376459684475691 0.932520875664248 0.436046640765749 -0.472185767863136 0.232614747419491
"Cer 34:2;2" 0.41563999408137 0.882479409149616 0.388038882727697 -0.400827564628556 0.278825880807832
"Cer 36:0;3" 0.865566231600495 0.602508805510752 0.865648608018611 0.323989609605993 0.136264903134451
"Cer 36:1;2" -0.311408224811629 -0.856488169260886 -0.656484515504854 0.769591402939348 0.36280940518814
"Cer 36:2;2" 0.63523701819565 0.452640418217231 0.938630157181313 -0.137490810963797 -0.554095394673439
"Cer 38:1;2" -0.854064646264702 -0.423553148399818 -0.562369859578562 -0.614696704118475 -0.489416823245958
"Cer 38:2;4" 0.865566231600495 0.602508805510752 0.865648608018611 0.323989609605993 0.136264903134451
"Cer 40:0;2" -0.311408224811629 -0.856488169260886 -0.656484515504854 0.769591402939348 0.36280940518814
"Cer 40:1;2" 0.840868914135718 0.834088791561669 0.950140867031456 -0.123425893472682 -0.10094747311335
"Cer 40:2;2" 0.462235080165152 0.999343371230636 0.644207215890513 -0.427918853434572 0.154332432521177
"Cer 42:1;2" 0.799139111573762 0.555491351769386 0.989173064294002 -0.0463256698359037 -0.406922531811556
"Cer 42:1;3" NA NA NA NA NA
