"statistic" "tf" "condition" "score"
"viper" "ELF3" "OA" -2.37895376085624
"viper" "ELF3" "PA" -2.19543811409578
"viper" "ELF3" "PO" -2.42398814410346
"viper" "ELF5" "Ctrl" 0.123963728098803
"viper" "ELF5" "OA" 0.277971232657699
"viper" "ELF5" "PA" 0.150294336520973
"viper" "ELF5" "PO" 0.151059771489892
"viper" "ELK1" "Ctrl" 1.47617245369084
"viper" "ELK1" "OA" 1.50181950753267
"viper" "ELK1" "PA" 1.32368474134918
"viper" "ELK1" "PO" 1.48995460110666
"viper" "ELK4" "Ctrl" 0.493081123091061
"viper" "ELK4" "OA" 0.569744174378839
"viper" "ELK4" "PA" 0.428698096459283
"viper" "ELK4" "PO" 0.508668836726961
"viper" "EOMES" "Ctrl" -1.52811370630066
"viper" "EOMES" "OA" -1.8062928294901
"viper" "EOMES" "PA" -1.58435005001081
"viper" "EOMES" "PO" -1.57458811901375
"viper" "EPAS1" "Ctrl" 0.751338749712292
"viper" "EPAS1" "OA" 0.504271601968504
"viper" "EPAS1" "PA" 0.455673730001877
"viper" "EPAS1" "PO" 0.699271404666115
"viper" "ERG" "Ctrl" 2.41623112687017
"viper" "ERG" "OA" 2.53278651083449
"viper" "ERG" "PA" 2.73594345996633
"viper" "ERG" "PO" 2.54264822283008
"viper" "ESR1" "Ctrl" 0.807848314670609
"viper" "ESR1" "OA" 0.649855575178324
"viper" "ESR1" "PA" 0.625476248613851
"viper" "ESR1" "PO" 0.769330492925614
"viper" "ESR2" "Ctrl" 0.217419805899458
"viper" "ESR2" "OA" 0.128738147813049
"viper" "ESR2" "PA" 0.35389526971603
"viper" "ESR2" "PO" 0.173225130983192
"viper" "ESRRA" "Ctrl" 0.358351703615803
"viper" "ESRRA" "OA" 0.136909522778136
"viper" "ESRRA" "PA" 0.475017101131799
"viper" "ESRRA" "PO" 0.505445649477683
"viper" "ETS1" "Ctrl" 1.58386377854225
"viper" "ETS1" "OA" 1.68822605553585
"viper" "ETS1" "PA" 1.2516178372721
"viper" "ETS1" "PO" 1.6269603484979
"viper" "ETS2" "Ctrl" -0.646383122955479
"viper" "ETS2" "OA" -0.356130867464452
"viper" "ETS2" "PA" -0.79621142073927
"viper" "ETS2" "PO" -0.595879115170816
"viper" "ETV1" "Ctrl" -0.873088289225529
"viper" "ETV1" "OA" -0.537123621334527
"viper" "ETV1" "PA" -1.02415623251502
"viper" "ETV1" "PO" -0.838010614140673
"viper" "ETV4" "Ctrl" 2.6801619220092
"viper" "ETV4" "OA" 2.66222806424524
"viper" "ETV4" "PA" 2.58021235836106
"viper" "ETV4" "PO" 2.60333947105535
"viper" "FLI1" "Ctrl" 1.07010129823168
"viper" "FLI1" "OA" 1.13795231569746
"viper" "FLI1" "PA" 1.31062949837456
"viper" "FLI1" "PO" 1.15877488660783
"viper" "FOS" "Ctrl" -1.2501459876914
"viper" "FOS" "OA" -1.38762737116523
"viper" "FOS" "PA" -1.05258373601429
"viper" "FOS" "PO" -1.28109947964005
"viper" "FOSL1" "Ctrl" 2.39688707439951
"viper" "FOSL1" "OA" 2.32617979938727
"viper" "FOSL1" "PA" 2.6873030248656
"viper" "FOSL1" "PO" 2.441982326912
"viper" "FOSL2" "Ctrl" 0.617169837591446
"viper" "FOSL2" "OA" 0.907992670170491
"viper" "FOSL2" "PA" 0.537165967893839
"viper" "FOSL2" "PO" 0.742809215054708
"viper" "FOXA1" "Ctrl" 0.094428019417456
"viper" "FOXA1" "OA" -0.101188417421206
"viper" "FOXA1" "PA" 0.0594748220493356
"viper" "FOXA1" "PO" 0.0838916146135462
"viper" "FOXA2" "Ctrl" -0.240379935257772
"viper" "FOXA2" "OA" -0.269494656657693
"viper" "FOXA2" "PA" -0.351123000875326
"viper" "FOXA2" "PO" -0.273924570846551
"viper" "FOXJ2" "Ctrl" -1.04437440507378
"viper" "FOXJ2" "OA" -0.921153674037682
"viper" "FOXJ2" "PA" -0.906053471408038
"viper" "FOXJ2" "PO" -1.02787034790199
"viper" "FOXK2" "Ctrl" 1.726359677884
"viper" "FOXK2" "OA" 1.68324299380523
"viper" "FOXK2" "PA" 1.96448848560592
"viper" "FOXK2" "PO" 1.74425956143513
"viper" "FOXL2" "Ctrl" -0.339789100381576
"viper" "FOXL2" "OA" -0.52403872358328
"viper" "FOXL2" "PA" -0.636189498382296
"viper" "FOXL2" "PO" -0.702290671824548
"viper" "FOXM1" "Ctrl" 1.91083850166413
"viper" "FOXM1" "OA" 2.38656481504413
"viper" "FOXM1" "PA" 1.63186374562127
"viper" "FOXM1" "PO" 2.02943536592677
"viper" "FOXO1" "Ctrl" -2.34729567727821
"viper" "FOXO1" "OA" -2.18288929399326
"viper" "FOXO1" "PA" -2.05478574673332
"viper" "FOXO1" "PO" -2.06942608777649
"viper" "FOXO3" "Ctrl" -1.48708211577334
"viper" "FOXO3" "OA" -1.30980290092
"viper" "FOXO3" "PA" -0.849135515884745
"viper" "FOXO3" "PO" -1.23625856499111
"viper" "FOXO4" "Ctrl" -0.85984947252166
"viper" "FOXO4" "OA" -0.75839622763049
"viper" "FOXO4" "PA" -0.704226078601443
"viper" "FOXO4" "PO" -0.759350010508248
"viper" "FOXP1" "Ctrl" 2.46662268374569
"viper" "FOXP1" "OA" 2.29238107334887
"viper" "FOXP1" "PA" 2.32150729453243
"viper" "FOXP1" "PO" 2.39396057411656
"viper" "FOXP2" "Ctrl" 1.58018141972521
"viper" "FOXP2" "OA" 1.67149672456815
"viper" "FOXP2" "PA" 1.28736710337805
"viper" "FOXP2" "PO" 1.5356754794581
"viper" "GABPA" "Ctrl" 0.155848961360572
"viper" "GABPA" "OA" 0.282524562842873
"viper" "GABPA" "PA" 0.281771734549219
"viper" "GABPA" "PO" 0.138774010129152
"viper" "GATA1" "Ctrl" 0.788733563183875
"viper" "GATA1" "OA" 0.833495324977749
"viper" "GATA1" "PA" 0.805267256351825
"viper" "GATA1" "PO" 0.784007113640414
"viper" "GATA2" "Ctrl" 0.680444928331563
"viper" "GATA2" "OA" 0.400596318991193
"viper" "GATA2" "PA" 0.446288306428305
"viper" "GATA2" "PO" 0.556548225812844
"viper" "GATA3" "Ctrl" -1.24874903882164
"viper" "GATA3" "OA" -1.62429957063804
"viper" "GATA3" "PA" -1.23070341966136
"viper" "GATA3" "PO" -1.35198843954909
"viper" "GATA4" "Ctrl" -0.150142085892203
"viper" "GATA4" "OA" -0.00411872320961193
"viper" "GATA4" "PA" -0.312323299190205
"viper" "GATA4" "PO" -0.181715486134865
"viper" "GATA6" "Ctrl" -1.74768256908549
"viper" "GATA6" "OA" -1.48529886193237
"viper" "GATA6" "PA" -1.70941520968345
"viper" "GATA6" "PO" -1.65218934059316
"viper" "GFI1B" "Ctrl" -0.0273640338055627
"viper" "GFI1B" "OA" -0.119783120351699
"viper" "GFI1B" "PA" -0.0465727554878121
"viper" "GFI1B" "PO" -0.0584146841637395
"viper" "GLI2" "Ctrl" 1.58039294121497
"viper" "GLI2" "OA" 1.85425225070633
"viper" "GLI2" "PA" 1.40565401432614
"viper" "GLI2" "PO" 1.78845850497641
"viper" "GRHL2" "Ctrl" -0.681343645712418
"viper" "GRHL2" "OA" -0.887951377365993
"viper" "GRHL2" "PA" -0.744059658488251
"viper" "GRHL2" "PO" -0.733739548521729
"viper" "HBP1" "Ctrl" -0.743065353529423
"viper" "HBP1" "OA" -0.642787434163205
"viper" "HBP1" "PA" -1.06586765207679
"viper" "HBP1" "PO" -0.741470893355862
"viper" "HHEX" "Ctrl" 2.23198209270864
"viper" "HHEX" "OA" 2.20756439455599
"viper" "HHEX" "PA" 2.13636452004272
"viper" "HHEX" "PO" 2.20449081270533
"viper" "HIF1A" "Ctrl" 3.60312568481479
"viper" "HIF1A" "OA" 3.47301492197017
"viper" "HIF1A" "PA" 3.57403768263362
"viper" "HIF1A" "PO" 3.63367708914161
"viper" "HINFP" "Ctrl" -0.213842626550983
"viper" "HINFP" "OA" -0.115531910402353
"viper" "HINFP" "PA" -0.26426408009028
"viper" "HINFP" "PO" -0.188708150381642
"viper" "HMBOX1" "Ctrl" 2.54750177251537
"viper" "HMBOX1" "OA" 2.57000203774122
"viper" "HMBOX1" "PA" 2.45150491413124
"viper" "HMBOX1" "PO" 2.66767535701586
"viper" "HNF1A" "Ctrl" -1.18438175992396
"viper" "HNF1A" "OA" -0.73915454608533
"viper" "HNF1A" "PA" -0.908474089421206
"viper" "HNF1A" "PO" -0.980161929508357
"viper" "HNF1B" "Ctrl" -1.22685870676541
"viper" "HNF1B" "OA" -1.05739929635516
"viper" "HNF1B" "PA" -1.04279573810587
"viper" "HNF1B" "PO" -0.931096614179253
"viper" "HNF4A" "Ctrl" -1.67802309058145
"viper" "HNF4A" "OA" -2.23365772927521
"viper" "HNF4A" "PA" -1.55430431011816
"viper" "HNF4A" "PO" -1.79431231014878
"viper" "HNF4G" "Ctrl" 0.432187043516576
"viper" "HNF4G" "OA" 0.0988432950394896
"viper" "HNF4G" "PA" 0.280541451810248
"viper" "HNF4G" "PO" 0.304229019503672
"viper" "HOXA9" "Ctrl" -1.67927910625831
"viper" "HOXA9" "OA" -1.52668811927985
"viper" "HOXA9" "PA" -1.55072396902906
"viper" "HOXA9" "PO" -1.63018277163646
"viper" "HOXB13" "Ctrl" -3.37240346866443
"viper" "HOXB13" "OA" -3.37558250223055
"viper" "HOXB13" "PA" -2.96157795966183
"viper" "HOXB13" "PO" -3.2441248506986
"viper" "HSF1" "Ctrl" 1.60844276644111
"viper" "HSF1" "OA" 1.39298670191753
"viper" "HSF1" "PA" 1.56267414710946
"viper" "HSF1" "PO" 1.69504308105612
"viper" "IKZF1" "Ctrl" -2.10246253355894
"viper" "IKZF1" "OA" -2.17207332874643
"viper" "IKZF1" "PA" -2.0122876097679
"viper" "IKZF1" "PO" -2.2019804893157
"viper" "IRF1" "Ctrl" -2.96352934956655
"viper" "IRF1" "OA" -3.62364326424386
"viper" "IRF1" "PA" -3.5790464845983
"viper" "IRF1" "PO" -3.57709014261712
"viper" "IRF2" "Ctrl" -0.819171466819404
"viper" "IRF2" "OA" -1.05608087410447
"viper" "IRF2" "PA" -0.861155995340836
"viper" "IRF2" "PO" -1.02073123258959
"viper" "IRF3" "Ctrl" 0.312429887520257
"viper" "IRF3" "OA" 0.12849895420499
"viper" "IRF3" "PA" 0.13775271171869
"viper" "IRF3" "PO" 0.136554404748439
"viper" "IRF4" "Ctrl" -2.80481474188223
"viper" "IRF4" "OA" -2.89570660620874
"viper" "IRF4" "PA" -2.84670294101897
"viper" "IRF4" "PO" -2.86689330035528
"viper" "IRF9" "Ctrl" -1.21054055989739
"viper" "IRF9" "OA" -1.50040697258969
"viper" "IRF9" "PA" -1.41442129921071
"viper" "IRF9" "PO" -1.32485471972229
"viper" "JUN" "Ctrl" 1.23333438268246
"viper" "JUN" "OA" 0.872709797311692
"viper" "JUN" "PA" 1.06035125092875
"viper" "JUN" "PO" 1.01770797363574
"viper" "JUNB" "Ctrl" 1.12876078678573
"viper" "JUNB" "OA" 1.26031115300998
"viper" "JUNB" "PA" 1.2762342193438
"viper" "JUNB" "PO" 1.21094144180878
"viper" "JUND" "Ctrl" 1.29673789405986
"viper" "JUND" "OA" 1.40657870703608
"viper" "JUND" "PA" 1.4139991145264
"viper" "JUND" "PO" 1.40505471564357
"viper" "KDM5B" "Ctrl" 1.03832473272296
"viper" "KDM5B" "OA" 1.01636764472501
"viper" "KDM5B" "PA" 0.991493706949762
"viper" "KDM5B" "PO" 1.02733732286304
"viper" "KLF1" "Ctrl" -0.223385631098837
"viper" "KLF1" "OA" -0.203275284787355
"viper" "KLF1" "PA" -0.413832387351455
"viper" "KLF1" "PO" -0.349339475366979
"viper" "KLF13" "Ctrl" -1.44077646200151
"viper" "KLF13" "OA" -1.37407361878433
"viper" "KLF13" "PA" -1.36299154183137
"viper" "KLF13" "PO" -1.38697960009797
"viper" "KLF3" "Ctrl" -0.897076527753741
"viper" "KLF3" "OA" -0.937832455054937
"viper" "KLF3" "PA" -0.93717767064938
"viper" "KLF3" "PO" -0.866102623963278
"viper" "KLF4" "Ctrl" 1.35265708962414
"viper" "KLF4" "OA" 1.39685051544689
"viper" "KLF4" "PA" 1.67047985476391
"viper" "KLF4" "PO" 1.46954894439746
"viper" "KLF5" "Ctrl" 3.17947903877357
"viper" "KLF5" "OA" 3.06244961569646
"viper" "KLF5" "PA" 3.14158364411663
"viper" "KLF5" "PO" 3.15589085447045
"viper" "KLF6" "Ctrl" 3.94575038887981
"viper" "KLF6" "OA" 3.8198100727892
"viper" "KLF6" "PA" 3.90943236999136
"viper" "KLF6" "PO" 3.85098291135412
"viper" "KLF9" "Ctrl" 0.503040402541144
"viper" "KLF9" "OA" 0.317800263515459
"viper" "KLF9" "PA" 0.311845226982184
"viper" "KLF9" "PO" 0.529863200081749
"viper" "KMT2A" "Ctrl" -0.702153477429912
"viper" "KMT2A" "OA" -0.770193994864385
"viper" "KMT2A" "PA" -0.634324860882376
"viper" "KMT2A" "PO" -0.625972339835534
"viper" "LEF1" "Ctrl" 1.5857378052302
"viper" "LEF1" "OA" 1.72019321278092
"viper" "LEF1" "PA" 1.4867435830761
"viper" "LEF1" "PO" 1.63432904458994
"viper" "LHX2" "Ctrl" 0.621770816503173
"viper" "LHX2" "OA" 0.730092263733487
"viper" "LHX2" "PA" 0.817293578222434
"viper" "LHX2" "PO" 0.734806573486125
"viper" "LYL1" "Ctrl" -1.59924189294
"viper" "LYL1" "OA" -1.58924908300885
"viper" "LYL1" "PA" -1.86608264880177
"viper" "LYL1" "PO" -1.62350345003449
"viper" "MAF" "Ctrl" 0.849369410455843
"viper" "MAF" "OA" 0.431582827868697
"viper" "MAF" "PA" 0.668256052393752
"viper" "MAF" "PO" 0.498566626010476
"viper" "MAFB" "Ctrl" -2.29385881040512
"viper" "MAFB" "OA" -2.49744863556288
"viper" "MAFB" "PA" -1.99006701153841
"viper" "MAFB" "PO" -2.3210344774389
"viper" "MAFF" "Ctrl" -1.61404761572706
"viper" "MAFF" "OA" -1.85119667721462
"viper" "MAFF" "PA" -1.63076758236573
"viper" "MAFF" "PO" -1.71768989846062
"viper" "MAFG" "Ctrl" -2.00635411331998
"viper" "MAFG" "OA" -2.07280712762866
"viper" "MAFG" "PA" -1.74072184140892
"viper" "MAFG" "PO" -2.12299593659925
"viper" "MAFK" "Ctrl" -0.650319052873772
"viper" "MAFK" "OA" -0.671462446316667
"viper" "MAFK" "PA" -0.33459977851336
"viper" "MAFK" "PO" -0.691418778099389
"viper" "MAX" "Ctrl" 0.315319839968134
"viper" "MAX" "OA" 0.233396926147196
"viper" "MAX" "PA" 0.0464644593652795
"viper" "MAX" "PO" 0.273887295115484
"viper" "MAZ" "Ctrl" 2.44404959580719
"viper" "MAZ" "OA" 2.39860625638242
"viper" "MAZ" "PA" 2.34159765821319
"viper" "MAZ" "PO" 2.45065018501882
"viper" "MBD1" "Ctrl" -0.522208969216117
"viper" "MBD1" "OA" -0.556859431087808
"viper" "MBD1" "PA" -0.401855567791933
"viper" "MBD1" "PO" -0.451155446147655
"viper" "MBD2" "Ctrl" -2.4524340021533
"viper" "MBD2" "OA" -2.59382020936958
"viper" "MBD2" "PA" -2.660491204886
"viper" "MBD2" "PO" -2.4322066496449
"viper" "MEF2A" "Ctrl" -1.76704409228646
"viper" "MEF2A" "OA" -1.70467708092366
"viper" "MEF2A" "PA" -1.58037266221575
"viper" "MEF2A" "PO" -1.69602375715017
"viper" "MEF2B" "Ctrl" -0.637111815969982
"viper" "MEF2B" "OA" -0.655666936904846
"viper" "MEF2B" "PA" -0.573276466858443
"viper" "MEF2B" "PO" -0.676402669058318
"viper" "MEF2C" "Ctrl" -1.41311869936055
"viper" "MEF2C" "OA" -1.48845192212238
"viper" "MEF2C" "PA" -1.5430365849656
"viper" "MEF2C" "PO" -1.42469248101282
"viper" "MEIS1" "Ctrl" -1.6581531553041
"viper" "MEIS1" "OA" -1.58009313621179
"viper" "MEIS1" "PA" -1.72787464257917
"viper" "MEIS1" "PO" -1.64643035385352
"viper" "MEIS2" "Ctrl" -3.68908001199506
"viper" "MEIS2" "OA" -3.57523780103606
"viper" "MEIS2" "PA" -3.96845940390888
"viper" "MEIS2" "PO" -3.73630953469872
"viper" "MITF" "Ctrl" 0.446392064234406
"viper" "MITF" "OA" 0.618917487526118
"viper" "MITF" "PA" 0.300674303681674
"viper" "MITF" "PO" 0.457372488222048
"viper" "MNT" "Ctrl" -2.54180342861952
"viper" "MNT" "OA" -2.42887745765899
"viper" "MNT" "PA" -2.49156954361578
"viper" "MNT" "PO" -2.49791465077903
"viper" "MXI1" "Ctrl" -1.47961483277494
"viper" "MXI1" "OA" -1.52402211264581
"viper" "MXI1" "PA" -1.42024672346049
"viper" "MXI1" "PO" -1.47179653798595
"viper" "MYB" "Ctrl" -0.339919400408163
"viper" "MYB" "OA" -0.496814464413677
"viper" "MYB" "PA" -0.52189125496301
"viper" "MYB" "PO" -0.338412850280132
"viper" "MYBL2" "Ctrl" 0.722517388949301
"viper" "MYBL2" "OA" 1.04606111271897
"viper" "MYBL2" "PA" 0.664610706397974
"viper" "MYBL2" "PO" 0.814179198529126
"viper" "MYC" "Ctrl" 7.3706015022717
"viper" "MYC" "OA" 7.65596849499243
"viper" "MYC" "PA" 7.31562410313301
"viper" "MYC" "PO" 7.31176141173804
"viper" "MYCN" "Ctrl" 3.47932885285889
"viper" "MYCN" "OA" 3.7345279502807
"viper" "MYCN" "PA" 3.63337099856034
"viper" "MYCN" "PO" 3.4729212101268
"viper" "MYOD1" "Ctrl" -1.09619566247186
"viper" "MYOD1" "OA" -1.36961920521365
"viper" "MYOD1" "PA" -1.01544288700771
"viper" "MYOD1" "PO" -0.983373450303386
"viper" "NANOG" "Ctrl" -3.14789885808351
"viper" "NANOG" "OA" -2.9256622917677
"viper" "NANOG" "PA" -3.09837004231832
"viper" "NANOG" "PO" -3.09447042600299
"viper" "NCOA1" "Ctrl" -0.594069602234645
"viper" "NCOA1" "OA" -0.502742876236802
"viper" "NCOA1" "PA" -0.520231135566048
"viper" "NCOA1" "PO" -0.620678702021323
"viper" "NCOA2" "Ctrl" -1.15840479465903
"viper" "NCOA2" "OA" -1.09728341608744
"viper" "NCOA2" "PA" -0.948231353272574
"viper" "NCOA2" "PO" -1.16113651892711
"viper" "NCOA3" "Ctrl" -0.485409331397456
"viper" "NCOA3" "OA" -0.280222440286282
"viper" "NCOA3" "PA" -0.288510933432099
"viper" "NCOA3" "PO" -0.385033658035663
"viper" "NEUROD1" "Ctrl" 1.91583266075756
"viper" "NEUROD1" "OA" 1.98212890296859
"viper" "NEUROD1" "PA" 1.86735669146999
"viper" "NEUROD1" "PO" 1.92130752802344
"viper" "NFATC1" "Ctrl" -1.28357144482068
"viper" "NFATC1" "OA" -1.24291909344393
"viper" "NFATC1" "PA" -1.33463253257302
"viper" "NFATC1" "PO" -1.29336913932769
"viper" "NFATC2" "Ctrl" -1.16346691947828
"viper" "NFATC2" "OA" -1.71168663068657
"viper" "NFATC2" "PA" -1.31845285000475
"viper" "NFATC2" "PO" -1.45433536529269
