"statistic" "tf" "condition" "score"
"viper" "AHR" "Ctrl" -1.04069384791592
"viper" "AHR" "OA" -0.887734109089417
"viper" "AHR" "PA" -1.14576487964221
"viper" "AHR" "PO" -1.13268144858007
"viper" "AR" "Ctrl" 1.66863039212752
"viper" "AR" "OA" 1.68877946885998
"viper" "AR" "PA" 1.99220569978846
"viper" "AR" "PO" 1.74997845208476
"viper" "ARID2" "Ctrl" -0.182355188276613
"viper" "ARID2" "OA" 0.0245887115874659
"viper" "ARID2" "PA" -0.0379571644629728
"viper" "ARID2" "PO" -0.140418725776743
"viper" "ARID3A" "Ctrl" 0.626457013546915
"viper" "ARID3A" "OA" 0.519827161277774
"viper" "ARID3A" "PA" 0.697408560886832
"viper" "ARID3A" "PO" 0.578791746067009
"viper" "ARNT" "Ctrl" -1.54013010484844
"viper" "ARNT" "OA" -1.56088462166462
"viper" "ARNT" "PA" -1.389208409977
"viper" "ARNT" "PO" -1.45515835729025
"viper" "ARNTL" "Ctrl" -1.70050740574382
"viper" "ARNTL" "OA" -1.59414879689638
"viper" "ARNTL" "PA" -1.60469266495165
"viper" "ARNTL" "PO" -1.77441130187606
"viper" "ASCL1" "Ctrl" 0.183607523001726
"viper" "ASCL1" "OA" 0.00627735781016488
"viper" "ASCL1" "PA" 0.0655956579111831
"viper" "ASCL1" "PO" 0.283826871054078
"viper" "ATF1" "Ctrl" 1.23231623573523
"viper" "ATF1" "OA" 1.29089588650251
"viper" "ATF1" "PA" 1.09997137345573
"viper" "ATF1" "PO" 1.31830846312261
"viper" "ATF2" "Ctrl" 1.57509934401589
"viper" "ATF2" "OA" 1.66600065697853
"viper" "ATF2" "PA" 1.94619495046738
"viper" "ATF2" "PO" 1.63305147406321
"viper" "ATF3" "Ctrl" -1.86352785571148
"viper" "ATF3" "OA" -1.75789949206887
"viper" "ATF3" "PA" -2.10104823723237
"viper" "ATF3" "PO" -1.9401208237479
"viper" "ATF4" "Ctrl" 1.09763142893138
"viper" "ATF4" "OA" 0.932859843391828
"viper" "ATF4" "PA" 2.07073841527272
"viper" "ATF4" "PO" 1.14228538401943
"viper" "ATF6" "Ctrl" 3.42848995696236
"viper" "ATF6" "OA" 3.36828983512499
"viper" "ATF6" "PA" 3.90182476646407
"viper" "ATF6" "PO" 3.56926598542636
"viper" "ATF7" "Ctrl" 0.027752485984604
"viper" "ATF7" "OA" -0.00958357256526117
"viper" "ATF7" "PA" 0.186253009141196
"viper" "ATF7" "PO" 0.0554328763390691
"viper" "BACH1" "Ctrl" 0.455512273539802
"viper" "BACH1" "OA" 0.477195425649062
"viper" "BACH1" "PA" 0.824662156724514
"viper" "BACH1" "PO" 0.500491042934985
"viper" "BACH2" "Ctrl" -0.381508179199566
"viper" "BACH2" "OA" -0.50176741008322
"viper" "BACH2" "PA" -0.344418027323179
"viper" "BACH2" "PO" -0.50335312834997
"viper" "BATF" "Ctrl" -1.97243730307864
"viper" "BATF" "OA" -1.98537691488313
"viper" "BATF" "PA" -1.90943284238341
"viper" "BATF" "PO" -1.94983479758341
"viper" "BCL11A" "Ctrl" -2.01542629133657
"viper" "BCL11A" "OA" -2.15895728590668
"viper" "BCL11A" "PA" -1.98358831225018
"viper" "BCL11A" "PO" -2.02122989688438
"viper" "BCL6" "Ctrl" 0.690957199425897
"viper" "BCL6" "OA" 0.607738859683243
"viper" "BCL6" "PA" 0.393056799257352
"viper" "BCL6" "PO" 0.570041605582022
"viper" "BHLHE22" "Ctrl" -0.0235978376756996
"viper" "BHLHE22" "OA" -0.235964977034955
"viper" "BHLHE22" "PA" -0.00446905548586272
"viper" "BHLHE22" "PO" -0.184551536148622
"viper" "BHLHE40" "Ctrl" -0.358316081795378
"viper" "BHLHE40" "OA" -0.433419410673264
"viper" "BHLHE40" "PA" -0.440688536693763
"viper" "BHLHE40" "PO" -0.437538315702891
"viper" "CDX2" "Ctrl" -4.02684256196235
"viper" "CDX2" "OA" -3.91356105185456
"viper" "CDX2" "PA" -3.35729938660868
"viper" "CDX2" "PO" -3.85096518284578
"viper" "CEBPA" "Ctrl" 1.67689399111501
"viper" "CEBPA" "OA" 1.56660931868006
"viper" "CEBPA" "PA" 1.37315443969405
"viper" "CEBPA" "PO" 1.50424381284183
"viper" "CEBPB" "Ctrl" 0.642738890895057
"viper" "CEBPB" "OA" 0.335682236168647
"viper" "CEBPB" "PA" 0.483781212654913
"viper" "CEBPB" "PO" 0.252619822494367
"viper" "CEBPD" "Ctrl" 2.15726023711282
"viper" "CEBPD" "OA" 1.11213872888634
"viper" "CEBPD" "PA" 1.42493788410483
"viper" "CEBPD" "PO" 1.50041579343681
"viper" "CEBPG" "Ctrl" -0.200336262330002
"viper" "CEBPG" "OA" -0.103969066249272
"viper" "CEBPG" "PA" 0.0503534038840329
"viper" "CEBPG" "PO" -0.147841952290016
"viper" "CLOCK" "Ctrl" -1.01927301971951
"viper" "CLOCK" "OA" -1.18647544440933
"viper" "CLOCK" "PA" -1.1036271551931
"viper" "CLOCK" "PO" -1.09656021730981
"viper" "CREB1" "Ctrl" -0.681382313439135
"viper" "CREB1" "OA" -0.204955432378079
"viper" "CREB1" "PA" -0.472186128960403
"viper" "CREB1" "PO" -0.403073132350035
"viper" "CREB3" "Ctrl" 1.48530771468934
"viper" "CREB3" "OA" 1.51255831247978
"viper" "CREB3" "PA" 1.44668916282925
"viper" "CREB3" "PO" 1.46985398065611
"viper" "CREB3L1" "Ctrl" 1.89823404149666
"viper" "CREB3L1" "OA" 1.9329724994379
"viper" "CREB3L1" "PA" 1.93420296609665
"viper" "CREB3L1" "PO" 1.97985807981131
"viper" "CREM" "Ctrl" -0.541806555869139
"viper" "CREM" "OA" -0.459977547444648
"viper" "CREM" "PA" -0.361172422081973
"viper" "CREM" "PO" -0.531374752127535
"viper" "CTCF" "Ctrl" 0.165683686643409
"viper" "CTCF" "OA" 0.174853039789904
"viper" "CTCF" "PA" 0.0625979162977685
"viper" "CTCF" "PO" 0.102108071995291
"viper" "CTCFL" "Ctrl" -0.897014415176777
"viper" "CTCFL" "OA" -0.823820349065012
"viper" "CTCFL" "PA" -1.16725009697711
"viper" "CTCFL" "PO" -0.885333804287155
"viper" "CUX1" "Ctrl" 0.986125287405494
"viper" "CUX1" "OA" 0.812639097241636
"viper" "CUX1" "PA" 0.97277439613005
"viper" "CUX1" "PO" 0.938367213518156
"viper" "DUX4" "Ctrl" -2.2691019075165
"viper" "DUX4" "OA" -1.98410342854997
"viper" "DUX4" "PA" -2.15941408460465
"viper" "DUX4" "PO" -2.11096043983752
"viper" "E2F1" "Ctrl" -0.397772540997638
"viper" "E2F1" "OA" 0.240366997640941
"viper" "E2F1" "PA" -0.699610010852336
"viper" "E2F1" "PO" -0.242223462957882
"viper" "E2F2" "Ctrl" 1.41367133694888
"viper" "E2F2" "OA" 1.76960011798077
"viper" "E2F2" "PA" 1.02184930998996
"viper" "E2F2" "PO" 1.46305975844131
"viper" "E2F3" "Ctrl" 1.46854315959935
"viper" "E2F3" "OA" 1.68574866467454
"viper" "E2F3" "PA" 1.17561247015226
"viper" "E2F3" "PO" 1.51117216386051
"viper" "E2F4" "Ctrl" 3.74556022142102
"viper" "E2F4" "OA" 4.60132463951294
"viper" "E2F4" "PA" 3.09767422717878
"viper" "E2F4" "PO" 3.87681431875877
"viper" "E2F5" "Ctrl" 1.13360594619136
"viper" "E2F5" "OA" 1.28302140268447
"viper" "E2F5" "PA" 0.999928572101302
"viper" "E2F5" "PO" 1.20296055714082
"viper" "E2F6" "Ctrl" -0.868660276664312
"viper" "E2F6" "OA" -0.906989335004883
"viper" "E2F6" "PA" -0.959662175394896
"viper" "E2F6" "PO" -0.967987134686251
"viper" "E2F7" "Ctrl" 3.61771015478051
"viper" "E2F7" "OA" 3.8594824912002
"viper" "E2F7" "PA" 3.45401057034105
"viper" "E2F7" "PO" 3.55405585529439
"viper" "EBF1" "Ctrl" -1.27912743951368
"viper" "EBF1" "OA" -1.31636391503012
"viper" "EBF1" "PA" -1.64624979577147
"viper" "EBF1" "PO" -1.30287136015529
"viper" "EGR1" "Ctrl" 2.89817341255563
"viper" "EGR1" "OA" 2.93727679611895
"viper" "EGR1" "PA" 3.14621909524484
"viper" "EGR1" "PO" 3.01915213721246
"viper" "EHF" "Ctrl" -0.0844575193956207
"viper" "EHF" "OA" -0.115048369646299
"viper" "EHF" "PA" -0.102097146233781
"viper" "EHF" "PO" -0.0970297030944064
"viper" "ELF1" "Ctrl" 1.64659332778542
"viper" "ELF1" "OA" 1.62684275377231
"viper" "ELF1" "PA" 1.72335190418524
"viper" "ELF1" "PO" 1.64056842674447
"viper" "ELF3" "Ctrl" -2.4594324729904
