"Ctrl" "OA" "PA" "PO"
"GNAI3" 5.89341851813827 5.88908173468855 5.93927008709273 5.88060952290264
"CDC45" 3.26332861977643 3.50005751240012 3.06011218144533 3.33264023240654
"NARF" 2.75239327911655 2.4527500028542 3.00470871716202 2.71351486643545
"CAV2" 1.9626349168664 2.38676748584128 2.04533796034646 2.25684224518147
"KLF6" 6.27615263300458 6.15939222634923 6.51356577187884 6.21976367706799
"SCMH1" 1.1010048656837 0.972409002944492 1.05051544358513 1.02676254858655
"COX5A" 6.17866551015268 6.13639058701008 6.05691703938769 6.109215080817
"TBX2" -0.330377161265207 -0.650903481288108 -0.0720319590675741 -0.0638479989880017
"WNT9A" 2.04940940115146 1.70403698587183 2.14335756962385 2.07641830270233
"FER" 2.0354310119187 2.14167508405497 2.14160968001097 2.16088260720526
"XPO6" 3.38880642298071 3.3654721858914 3.32769161498325 3.41227335393811
"TFE3" 3.53426037669234 3.35218067569835 3.54483465559872 3.49288100920685
"AXIN2" 0.545353365849507 0.312843687021883 0.0665835083803882 0.441356462336557
"BRAT1" 2.10731542761648 2.06502548463913 2.26446977529259 2.03051539325192
"GNA12" 3.84092100765918 3.70493098534605 3.74477207946801 3.80732910686164
"IGSF5" 4.02808869677498 3.84903372495366 3.79729176286888 3.89160702744187
"DLAT" 4.54149216672008 4.57750849117026 4.52767656127023 4.50114897470455
"SDHD" 6.10095045563531 6.15737648309276 5.94580573821153 6.12504511751978
"CCND2" 3.30538235234683 3.19122001255909 3.62081281523495 3.54449183651337
"GPR107" 2.70049229543023 2.62254343970182 2.64942480699062 2.68235984339914
"LHX2" 0.682965148970984 0.697223767930629 0.300254703406542 0.747848387242603
"GMPR" 4.28497896448018 4.15825979372547 4.00714112196162 4.23588519140394
"MID2" 1.43452881138857 1.23149619739917 1.42252556162785 1.36323449541777
"TRIM25" 3.03624630263736 2.91810904401544 3.10333134620264 3.02322967658816
"DGKE" 0.616554142340541 0.727633196785316 0.630225009591631 0.792219362930452
"SCPEP1" 6.5388586178966 6.35382313987169 6.67017791937114 6.54559098800171
"MNT" 4.03456344951064 3.94304042358324 4.40604435897001 4.05388922461885
"HDDC2" 2.26374872115832 2.48930396058023 2.31759247348738 2.34284233039402
"TPD52L1" 0.19249577277338 -0.251190843339923 -0.542168390252016 -0.145011384318152
"PEMT" 1.73162845281822 1.33771587067912 1.56504405469275 1.63486244735946
"CDH1" 4.5794629327819 4.34481514568073 4.50048815310729 4.57323220623728
"ARVCF" 2.77391383534277 2.54644908918272 2.72691195428056 2.73047063702014
"COMT" 6.00123341285142 5.86686977871075 6.12220769760662 6.03187387417013
"RTCA" 4.21116327716039 4.12385637285034 4.14547827294442 4.16574100413193
"DBT" 3.45260971368326 3.11859298620185 3.28541785428932 3.17252665391588
"DAZAP2" 6.34924641055514 6.21147461374157 6.32553232766779 6.32248354500542
"MCTS1" 3.6400672594205 3.75035803255198 3.71941309674856 3.59894663327909
"TRAPPC10" 3.59868660307672 3.54484568894837 3.58585310839917 3.60162722589492
"CCM2" 3.95620849404167 3.9776910950974 3.91339617766022 4.00828028365651
"TBRG4" 4.71993292114778 4.77119840990061 4.68593191658675 4.68178141167338
"NDUFA9" 5.00075550244876 5.03077066219191 5.02938309599982 4.97777053489791
"LCK" 0.958094037319146 0.803119907002774 1.30353496847146 1.00045020170171
