"Ctrl" "OA" "PA" "PO"
"AHR" -1.04069384791592 -0.887734109089417 -1.14576487964221 -1.13268144858007
"AR" 1.66863039212752 1.68877946885998 1.99220569978846 1.74997845208476
"ARID2" 1.68877946885998 1.99220569978846 1.74997845208476 -0.182355188276613
"ARID3A" 1.99220569978846 1.74997845208476 -0.182355188276613 0.0245887115874659
"ARNT" 1.74997845208476 -0.182355188276613 0.0245887115874659 -0.0379571644629728
"ARNTL" -0.182355188276613 0.0245887115874659 -0.0379571644629728 -0.140418725776743
"ASCL1" 0.0245887115874659 -0.0379571644629728 -0.140418725776743 0.626457013546915
"ATF1" -0.0379571644629728 -0.140418725776743 0.626457013546915 0.519827161277774
"ATF2" -0.140418725776743 0.626457013546915 0.519827161277774 0.697408560886832
"ATF3" 0.626457013546915 0.519827161277774 0.697408560886832 0.578791746067009
"ATF4" 0.519827161277774 0.697408560886832 0.578791746067009 -1.54013010484844
"ATF6" 0.697408560886832 0.578791746067009 -1.54013010484844 -1.56088462166462
"ATF7" 0.578791746067009 -1.54013010484844 -1.56088462166462 -1.389208409977
"BACH1" -1.54013010484844 -1.56088462166462 -1.389208409977 -1.45515835729025
"BACH2" -1.56088462166462 -1.389208409977 -1.45515835729025 -1.70050740574382
"BATF" -1.389208409977 -1.45515835729025 -1.70050740574382 -1.59414879689638
"BCL11A" -1.45515835729025 -1.70050740574382 -1.59414879689638 -1.60469266495165
"BCL6" -1.70050740574382 -1.59414879689638 -1.60469266495165 -1.77441130187606
"BHLHE22" -1.59414879689638 -1.60469266495165 -1.77441130187606 0.183607523001726
"BHLHE40" -1.60469266495165 -1.77441130187606 0.183607523001726 0.00627735781016488
"CDX2" -1.77441130187606 0.183607523001726 0.00627735781016488 0.0655956579111831
"CEBPA" 0.183607523001726 0.00627735781016488 0.0655956579111831 0.283826871054078
"CEBPB" 0.00627735781016488 0.0655956579111831 0.283826871054078 1.23231623573523
"CEBPD" 0.0655956579111831 0.283826871054078 1.23231623573523 1.29089588650251
"CEBPG" 0.283826871054078 1.23231623573523 1.29089588650251 1.09997137345573
"CLOCK" 1.23231623573523 1.29089588650251 1.09997137345573 1.31830846312261
"CREB1" 1.29089588650251 1.09997137345573 1.31830846312261 1.57509934401589
"CREB3" 1.09997137345573 1.31830846312261 1.57509934401589 1.66600065697853
"CREB3L1" 1.31830846312261 1.57509934401589 1.66600065697853 1.94619495046738
"CREM" 1.57509934401589 1.66600065697853 1.94619495046738 1.63305147406321
"CTCF" 1.66600065697853 1.94619495046738 1.63305147406321 -1.86352785571148
"CTCFL" 1.94619495046738 1.63305147406321 -1.86352785571148 -1.75789949206887
"CUX1" 1.63305147406321 -1.86352785571148 -1.75789949206887 -2.10104823723237
"DUX4" -1.86352785571148 -1.75789949206887 -2.10104823723237 -1.9401208237479
"E2F1" -1.75789949206887 -2.10104823723237 -1.9401208237479 1.09763142893138
"E2F2" -2.10104823723237 -1.9401208237479 1.09763142893138 0.932859843391828
"E2F3" -1.9401208237479 1.09763142893138 0.932859843391828 2.07073841527272
"E2F4" 1.09763142893138 0.932859843391828 2.07073841527272 1.14228538401943
