tf	lipid	cor
TFAP2A	LPC 16:0;0	0.999717071336406
WT1	LPC 16:0;0	-0.999472082405996
RUNX1	LPI 18:0;0	0.999308086874375
PBX2	LPI 18:0;0	0.99890213257436
E2F1	LPE 18:0;0	-0.998530893460785
IRF4	LPI 18:0;0	0.998379927865694
RARA	LPI 18:0;0	0.998379656512555
NFE2L1	LPI 18:0;0	0.997821134764465
MITF	LPC 16:0;0	-0.997584833836089
SREBF1	LPE 18:0;0	0.997482710502231
MEF2B	LPE 18:0;0	0.997365598773341
FOXM1	LPE 18:0;0	-0.996912483844258
IRF4	LPE 18:0;0	0.996269664206829
HNF4A	LPI 18:0;0	0.995944084212403
ETS2	LPI 18:0;0	-0.995713090871259
SREBF2	LPI 18:0;0	0.995624392403145
NFE2L1	LPE 18:0;0	0.9952344879621
YY1	LPE 18:0;0	-0.994990152742232
ZFP217	LPC 16:0;0	0.994754531710269
FOXP2	LPC 16:0;0	-0.994727959928735
HBP1	LPC 16:0;0	-0.994350252536566
MAFB	LPC 16:0;0	0.994031107238341
ETS2	LPE 18:0;0	-0.994019949819314
HINFP	LPE 18:0;0	-0.993740481532053
RARA	LPE 18:0;0	0.992608560935667
E2F2	LPC 16:0;0	-0.990916006302143
ESR2	LPC 16:0;0	0.99036557311853
MAFK	LPC 16:0;0	0.990341045588077
RUNX1	LPE 18:0;0	0.990034430252901
E2F4	LPC 16:0;0	-0.98999469303182
MEF2A	LPC 16:0;0	0.98771626747403
PBX2	LPE 18:0;0	0.987392059950091
FOXM1	LPI 18:0;0	-0.987220802313938
E2F3	LPC 16:0;0	-0.986845005986965
ETV1	LPI 18:0;0	-0.986784089026492
SRF	LPC 16:0;0	-0.986000117225844
TFDP1	LPE 18:0;0	-0.985609459672554
E2F4	LPE 18:0;0	-0.985207528052934
TCF7L2	LPC 16:0;0	-0.985090549430111
HNF4A	LPE 18:0;0	0.984458312845243
ELF1	LPC 16:0;0	0.984144293498633
E2F1	LPI 18:0;0	-0.983433116317775
LEF1	LPE 18:0;0	-0.983399522971978
SPIB	LPC 16:0;0	0.983385539723319
SREBF1	LPI 18:0;0	0.983191605702633
FOXK2	LPC 16:0;0	0.983169146740107
TCF3	LPC 16:0;0	-0.982974804195502
MAFK	LPE 18:0;0	0.982829815905157
ATF3	LPC 16:0;0	-0.98128264262619
SREBF2	LPE 18:0;0	0.98104089674702
ETV1	LPE 18:0;0	-0.978957489773068
YY1	LPI 18:0;0	-0.978769450223802
MEF2B	LPI 18:0;0	0.977983635948574
HINFP	LPC 16:0;0	-0.977877084442571
ATF7	LPC 16:0;0	0.977297975425775
ETV1	LPC 16:0;0	-0.977288357717748
MAFB	LPE 18:0;0	0.97725379297526
FOSL1	LPC 16:0;0	0.976059821706543
ZFP217	LPE 18:0;0	0.975994581464014
USF2	LPI 18:0;0	0.975937830643254
HINFP	LPI 18:0;0	-0.975770005913578
ELF1	LPE 18:0;0	0.974488383048809
SRF	LPE 18:0;0	-0.973987534007605
FOXM1	LPC 16:0;0	-0.973923393385424
NFKB2	LPC 16:0;0	0.972868965372508
ELK4	LPC 16:0;0	-0.972271562493047
ZEB2	LPI 18:0;0	-0.97196292579895
PAX6	LPI 18:0;0	-0.97179619577724
SREBF1	LPC 16:0;0	0.97098255718834
NFYB	LPE 18:0;0	-0.970716201331714
NR1H2	LPC 16:0;0	0.970643922050241
MYBL2	LPI 18:0;0	-0.970127902622197
LEF1	LPC 16:0;0	-0.969240126347133
SOX6	LPE 18:0;0	0.968744896269523
E2F4	LPI 18:0;0	-0.968229944640122
ETS2	LPC 16:0;0	-0.966427508089391
TCF3	LPE 18:0;0	-0.965786408394717
BCL11A	LPC 16:0;0	0.965431834241879
IKZF1	LPE 18:0;0	0.964842620442093
E2F1	LPC 16:0;0	-0.964803478569985
E2F5	LPE 18:0;0	-0.963510485077505
ZEB2	LPE 18:0;0	-0.963354206511491
MAFK	LPI 18:0;0	0.96300543284272
E2F2	LPE 18:0;0	-0.962709530807308
ELK4	LPE 18:0;0	-0.961952310022802
MITF	LPE 18:0;0	-0.961418830926267
USF2	LPE 18:0;0	0.961408523228165
BCL11A	LPI 18:0;0	0.961390786114209
WT1	LPE 18:0;0	-0.961333895014354
FOS	LPC 16:0;0	0.960488325422915
NFYB	LPI 18:0;0	-0.960274189013965
MEF2B	LPC 16:0;0	0.959954957162855
E2F7	LPC 16:0;0	-0.959189555210766
MYBL2	LPE 18:0;0	-0.958949749515682
NFE2L1	LPC 16:0;0	0.958072949578044
AR	LPC 16:0;0	0.957770726638133
MAFB	LPI 18:0;0	0.957694368522069
E2F5	LPC 16:0;0	-0.956901058898364
FOS	LPE 18:0;0	0.956878984985438
ZFP217	LPI 18:0;0	0.9566614328113
SMAD1	LPC 16:0;0	0.955826906388278
GLI2	LPE 18:0;0	-0.955675429922404
ZFP384	LPE 18:0;0	0.955584738339563
PAX6	LPE 18:0;0	-0.953575205925293
BACH2	LPE 18:0;0	0.952811116833962
PAX8	LPC 16:0;0	-0.952665746183638
TFDP1	LPI 18:0;0	-0.952404632851865
E2F3	LPE 18:0;0	-0.952356562024103
TBP	LPI 18:0;0	-0.951676828905008
LEF1	LPI 18:0;0	-0.951571453238437
ZFP384	LPC 16:0;0	0.951348014548589
HOXB13	LPC 16:0;0	0.951332219197277
RUNX1	LPC 16:0;0	0.950129054045966
SOX6	LPI 18:0;0	0.948078038858548
TFAP2A	LPE 18:0;0	0.946996502906278
POU2F1	LPC 16:0;0	0.945496875349803
WT1	LPI 18:0;0	-0.945189206161969
BHLHE22	LPE 18:0;0	0.94512967201494
SRF	LPI 18:0;0	-0.94431281497919
ELF1	LPI 18:0;0	0.943893305502902
TFDP1	LPC 16:0;0	-0.94387418722
NEUROD1	LPC 16:0;0	-0.943467349972549
E2F7	LPI 18:0;0	-0.942658333814734
HBP1	LPE 18:0;0	-0.942540332543757
IRF4	LPC 16:0;0	0.942241649396849
PAX8	LPI 18:0;0	-0.942200633639004
TBP	LPE 18:0;0	-0.939626861045918
BCL11A	LPE 18:0;0	0.939314662997601
MITF	LPI 18:0;0	-0.939267275703757
MAFG	LPE 18:0;0	0.935362090360724
E2F2	LPI 18:0;0	-0.932640897067396
TCF3	LPI 18:0;0	-0.931180386855085
PGR	LPI 18:0;0	-0.930729337431717
TFAP2A	LPI 18:0;0	0.930727814518224
MAFG	LPC 16:0;0	0.930126974331759
RARA	LPC 16:0;0	0.927618082787752
IKZF1	LPI 18:0;0	0.92397169540659
YY1	LPC 16:0;0	-0.923682040441637
PBX2	LPC 16:0;0	0.922412617514597
ELK4	LPI 18:0;0	-0.921431004387659
