tf	lipid	cor
E2F7	DAG 16:0;0_16:0;0	-0.993854729463913
ATF3	DAG 16:0;0_16:0;0	-0.993004646906717
MYC	DAG 16:0;0_16:0;0	-0.99271894137901
PAX8	DAG 16:0;0_16:0;0	-0.992369881622335
NFE2	DAG 16:0;0_16:0;0	0.991331008701645
NEUROD1	DAG 16:0;0_16:0;0	-0.990288925440196
POU2F1	DAG 16:0;0_16:0;0	0.986677104866882
BCL11A	DAG 16:0;0_16:0;0	0.986329887034667
NFYA	DAG 16:0;0_16:0;0	0.981039282110117
CREB3	DAG 16:0;0_16:0;0	-0.975752681189045
FOXP2	DAG 16:0;0_16:0;0	-0.968938935588145
MEF2A	DAG 16:0;0_16:0;0	0.962014363603465
ETV1	DAG 16:0;0_16:0;0	-0.958309129645116
FOSL1	DAG 16:0;0_16:0;0	0.956180078296088
TFAP2A	DAG 16:0;0_16:0;0	0.95559927777929
WT1	DAG 16:0;0_16:0;0	-0.949509802647887
PROX1	DAG 16:0;0_16:0;0	0.941609649269752
MITF	DAG 16:0;0_16:0;0	-0.935120623415293
TCF7L2	DAG 16:0;0_16:0;0	-0.934553863843818
ATF7	DAG 16:0;0_16:0;0	0.933108813116819
ESR2	DAG 16:0;0_16:0;0	0.930886055089751
ZFP217	DAG 16:0;0_16:0;0	0.930621519128256
NR1H2	DAG 16:0;0_16:0;0	0.930402170396741
SPIB	DAG 16:0;0_16:0;0	0.929312014082303
FOXK2	DAG 16:0;0_16:0;0	0.928788008094132
NFKB2	DAG 16:0;0_16:0;0	0.928781259196011
MAFB	DAG 16:0;0_16:0;0	0.928651897330536
AR	DAG 16:0;0_16:0;0	0.928019367018525
HOXB13	DAG 16:0;0_16:0;0	0.925969347153185
HBP1	DAG 16:0;0_16:0;0	-0.925342878693033
ETS2	DAG 16:0;0_16:0;0	-0.924995878275876
E2F4	DAG 16:0;0_16:0;0	-0.92478947716061
MAFK	DAG 16:0;0_16:0;0	0.920697543070786
RUNX1	DAG 16:0;0_16:0;0	0.918929418086937
SMAD1	DAG 16:0;0_16:0;0	0.918453784361463
NFE2L1	DAG 16:0;0_16:0;0	0.914675255789971
EGR1	DAG 16:0;0_16:0;0	0.914424590372587
FOXM1	DAG 16:0;0_16:0;0	-0.911902917442573
E2F2	DAG 16:0;0_16:0;0	-0.909877366234587
ESRRA	DAG 16:0;0_16:0;0	0.90750111723324
HINFP	DAG 16:0;0_16:0;0	-0.902515563105749
KMT2A	DAG 16:0;0_16:0;0	0.902356190798659
MBD1	DAG 16:0;0_16:0;0	0.900984679751712
SRF	DAG 16:0;0_16:0;0	-0.899131533014742
SREBF1	DAG 16:0;0_16:0;0	0.898604433524849
E2F3	DAG 16:0;0_16:0;0	-0.898249955186895
ATF6	DAG 16:0;0_16:0;0	0.89630050006922
ELF1	DAG 16:0;0_16:0;0	0.894555262851214
E2F6	DAG 16:0;0_16:0;0	-0.892796053817087
IRF4	DAG 16:0;0_16:0;0	0.891406661467
TCF3	DAG 16:0;0_16:0;0	-0.888733741391812
E2F1	DAG 16:0;0_16:0;0	-0.888039838316216
PBX2	DAG 16:0;0_16:0;0	0.886056453368276
SP2	DAG 16:0;0_16:0;0	-0.884310670083752
RARA	DAG 16:0;0_16:0;0	0.87985969203253
MEF2B	DAG 16:0;0_16:0;0	0.873443494517286
ELF3	DAG 16:0;0_16:0;0	0.871351749324568
SREBF2	DAG 16:0;0_16:0;0	0.868029993183089
LEF1	DAG 16:0;0_16:0;0	-0.867798350795402
HNF4A	DAG 16:0;0_16:0;0	0.865152461375978
ELK4	DAG 16:0;0_16:0;0	-0.863963644911159
VDR	DAG 16:0;0_16:0;0	-0.863155516595832
SP4	DAG 16:0;0_16:0;0	0.86122437320506
BATF	DAG 16:0;0_16:0;0	0.848210744543955
ETV4	DAG 16:0;0_16:0;0	-0.847400733229459
FOS	DAG 16:0;0_16:0;0	0.83990325459497
E2F5	DAG 16:0;0_16:0;0	-0.834970514543503
SNAPC4	DAG 16:0;0_16:0;0	-0.831908002536202
YY1	DAG 16:0;0_16:0;0	-0.830427878221916
TFDP1	DAG 16:0;0_16:0;0	-0.82908623050434
PKNOX1	DAG 16:0;0_16:0;0	-0.825836643769633
ZFP384	DAG 16:0;0_16:0;0	0.823212381000526
ATF4	DAG 16:0;0_16:0;0	0.816877366787985
USF2	DAG 16:0;0_16:0;0	0.797073179091603
PAX6	DAG 16:0;0_16:0;0	-0.79086355650425
BCL6	DAG 16:0;0_16:0;0	-0.788363068588925
SOX11	DAG 16:0;0_16:0;0	0.7856792829627
MAFG	DAG 16:0;0_16:0;0	0.784655255192659
ZEB2	DAG 16:0;0_16:0;0	-0.781049759917029
MYBL2	DAG 16:0;0_16:0;0	-0.77821172994346
KLF1	DAG 16:0;0_16:0;0	-0.774908423506964
SIX2	DAG 16:0;0_16:0;0	0.769172985069003
NFYB	DAG 16:0;0_16:0;0	-0.754996049727119
GLI2	DAG 16:0;0_16:0;0	-0.753976880314372
KLF4	DAG 16:0;0_16:0;0	0.752355553492656
IRF1	DAG 16:0;0_16:0;0	0.74797879726973
IKZF1	DAG 16:0;0_16:0;0	0.744427151786244
SOX6	DAG 16:0;0_16:0;0	0.73907346846384
THAP11	DAG 16:0;0_16:0;0	-0.738011851444764
BACH2	DAG 16:0;0_16:0;0	0.737582458143543
TBP	DAG 16:0;0_16:0;0	-0.735640602162362
EHF	DAG 16:0;0_16:0;0	-0.735297787638523
FOXO3	DAG 16:0;0_16:0;0	0.72534013680024
SMAD5	DAG 16:0;0_16:0;0	0.723797995370016
FLI1	DAG 16:0;0_16:0;0	0.712690265459733
BHLHE40	DAG 16:0;0_16:0;0	-0.709945695949091
PGR	DAG 16:0;0_16:0;0	-0.698472255725412
BHLHE22	DAG 16:0;0_16:0;0	0.67964548444349
RUNX2	DAG 16:0;0_16:0;0	0.674652220488556
ZFP740	DAG 16:0;0_16:0;0	-0.670762557624228
MAFF	DAG 16:0;0_16:0;0	0.665479313982942
CDX2	DAG 16:0;0_16:0;0	0.661214772444219
NANOG	DAG 16:0;0_16:0;0	-0.654518861903538
TAL1	DAG 16:0;0_16:0;0	0.645969837675396
NFE2L2	DAG 16:0;0_16:0;0	0.645510040088067
RXRA	DAG 16:0;0_16:0;0	0.643808568845059
FOXO1	DAG 16:0;0_16:0;0	0.637038522599504
ZBTB7A	DAG 16:0;0_16:0;0	-0.634166050154153
ONECUT1	DAG 16:0;0_16:0;0	-0.631345800605711
POU5F1	DAG 16:0;0_16:0;0	-0.630088161758035
GATA3	DAG 16:0;0_16:0;0	0.619019524841469
JUNB	DAG 16:0;0_16:0;0	0.618895279286971
FOXO4	DAG 16:0;0_16:0;0	0.617353905233223
NR2C2	DAG 16:0;0_16:0;0	-0.613793067478152
NR3C1	DAG 16:0;0_16:0;0	0.612474508706174
HMBOX1	DAG 16:0;0_16:0;0	-0.610188305158952
NFATC1	DAG 16:0;0_16:0;0	-0.603985676657072
RELA	DAG 16:0;0_16:0;0	-0.597278893533888
OTX2	DAG 16:0;0_16:0;0	-0.58702814701923
CUX1	DAG 16:0;0_16:0;0	0.577414217287428
ZFP143	DAG 16:0;0_16:0;0	0.576642471856027
MEIS2	DAG 16:0;0_16:0;0	-0.567260389416799
CTCF	DAG 16:0;0_16:0;0	-0.565248759388924
IRF2	DAG 16:0;0_16:0;0	0.552238308457306
MYCN	DAG 16:0;0_16:0;0	-0.535043897885551
MYOD1	DAG 16:0;0_16:0;0	0.53327068283124
CEBPG	DAG 16:0;0_16:0;0	0.530921623805065
BACH1	DAG 16:0;0_16:0;0	0.527962900756671
