tf	lipid	cor
RUNX1	PI 16:0;0_16:1;0	0.998836888004935
E2F4	PC 16:0;0_16:1;0	-0.998620261750946
PBX2	PI 16:0;0_16:1;0	0.998526558965252
ZFP217	PC 16:0;0_16:1;0	0.998415602858307
MAFB	PC 16:0;0_16:1;0	0.998360024911998
YY1	PS 16:1;0_18:0;0	-0.997933875450104
MAFK	PC 16:0;0_16:1;0	0.997838611530173
ATF6	PC 16:0;0_16:0;0	0.997519302865182
WT1	PC 16:0;0_16:1;0	-0.996641363388774
RARA	PI 16:0;0_16:1;0	0.996639098446794
BATF	PC 16:0;0_16:0;0	0.996527047831398
TFDP1	PS 16:1;0_18:0;0	-0.996473385895863
MEF2B	PS 16:1;0_18:0;0	0.996450494728277
IRF4	PI 16:0;0_16:1;0	0.995959367069802
NFE2L1	PI 16:0;0_16:1;0	0.995809300594355
SREBF2	PI 16:0;0_16:1;0	0.995761057635634
HNF4A	PI 16:0;0_16:1;0	0.995341345004062
MITF	PC 16:0;0_16:1;0	-0.995033389886252
WT1	PE 16:0;0_16:1;0	-0.994974782821329
ELF3	PC 16:0;0_16:0;0	0.994349859625273
ETV1	PE 16:0;0_16:1;0	-0.994342128176936
ZFP217	PE 16:0;0_16:1;0	0.99366601528828
ETS2	PI 16:0;0_16:1;0	-0.993659728167997
E2F4	PE 16:0;0_16:1;0	-0.993590032539115
E2F1	PS 16:1;0_18:0;0	-0.993589536982089
HINFP	PC 16:0;0_16:1;0	-0.993493717196159
MAFB	PE 16:0;0_16:1;0	0.993336364852554
MBD1	PC 16:0;0_16:0;0	0.993051684221924
FOXM1	PC 16:0;0_16:1;0	-0.992509123434176
MAFK	PE 16:0;0_16:1;0	0.991864652319445
TFAP2A	PC 16:0;0_16:1;0	0.991800998806433
TFAP2A	PE 16:0;0_16:1;0	0.991394760154618
SRF	PC 16:0;0_16:1;0	-0.991246456174812
MITF	PE 16:0;0_16:1;0	-0.990676732224265
SREBF1	PS 16:1;0_18:0;0	0.99060676916824
E2F2	PC 16:0;0_16:1;0	-0.990551939216986
SREBF1	PC 16:0;0_16:1;0	0.990462023196697
ELF1	PC 16:0;0_16:1;0	0.990131151432368
ETV1	PC 16:0;0_16:1;0	-0.989611335493068
IKZF1	PS 16:1;0_18:0;0	0.988739563779305
LEF1	PS 16:1;0_18:0;0	-0.988159275491374
FOXM1	PE 16:0;0_16:1;0	-0.987997733597444
HOXB13	PC 16:0;0_16:0;0	0.987930459051098
HINFP	PS 16:1;0_18:0;0	-0.987839002961701
SP4	PC 16:0;0_16:0;0	0.987617967051699
ETS2	PC 16:0;0_16:1;0	-0.987262509290077
ETS2	PE 16:0;0_16:1;0	-0.987081045159429
E2F1	PC 16:0;0_16:1;0	-0.986677867659556
ETV1	PI 16:0;0_16:1;0	-0.986660391595389
HINFP	PE 16:0;0_16:1;0	-0.986171099232647
TCF3	PC 16:0;0_16:1;0	-0.986066247950358
HBP1	PC 16:0;0_16:1;0	-0.985877797914022
FOXM1	PS 16:1;0_18:0;0	-0.985837503534939
EGR1	PC 16:0;0_16:0;0	0.98520364946435
PROX1	PC 16:0;0_16:0;0	0.984546684447877
AR	PC 16:0;0_16:0;0	0.984184514660069
SMAD1	PC 16:0;0_16:0;0	0.984080958050401
E2F3	PC 16:0;0_16:1;0	-0.983906225217632
SREBF1	PE 16:0;0_16:1;0	0.98370839541812
SOX6	PS 16:1;0_18:0;0	0.98337853690467
LEF1	PC 16:0;0_16:1;0	-0.983273103458197
MEF2B	PC 16:0;0_16:1;0	0.982781384782027
FOXM1	PI 16:0;0_16:1;0	-0.982555099217172
FOXP2	PE 16:0;0_16:1;0	-0.98222721897256
NFE2L1	PC 16:0;0_16:1;0	0.982202982493421
E2F2	PE 16:0;0_16:1;0	-0.982160684485414
BCL11A	PE 16:0;0_16:1;0	0.982018105775252
GLI2	PS 16:1;0_18:0;0	-0.981813797036011
IRF4	PS 16:1;0_18:0;0	0.981790387329066
SRF	PE 16:0;0_16:1;0	-0.981554963103147
NFE2L1	PE 16:0;0_16:1;0	0.981520257780585
BACH2	PS 16:1;0_18:0;0	0.980881669367815
HBP1	PE 16:0;0_16:1;0	-0.980103397431262
ELF1	PE 16:0;0_16:1;0	0.979840097750586
E2F1	PE 16:0;0_16:1;0	-0.978926919408239
FOXP2	PC 16:0;0_16:1;0	-0.978746363236153
NFYB	PS 16:1;0_18:0;0	-0.978176969973689
RUNX1	PE 16:0;0_16:1;0	0.977404510480046
RARA	PS 16:1;0_18:0;0	0.977398801994258
SREBF1	PI 16:0;0_16:1;0	0.977378018272963
E2F1	PI 16:0;0_16:1;0	-0.977300985873769
NFE2L1	PS 16:1;0_18:0;0	0.977297806764816
ELK4	PC 16:0;0_16:1;0	-0.977252786736518
E2F5	PS 16:1;0_18:0;0	-0.97687400905468
ATF3	PE 16:0;0_16:1;0	-0.976458642955022
RUNX1	PC 16:0;0_16:1;0	0.975553438625381
USF2	PI 16:0;0_16:1;0	0.97544635451966
PKNOX1	PC 16:0;0_16:0;0	-0.975056103118852
ETS2	PS 16:1;0_18:0;0	-0.975037954866633
E2F4	PS 16:1;0_18:0;0	-0.974921882367817
TCF3	PE 16:0;0_16:1;0	-0.974775143302184
MAFK	PS 16:1;0_18:0;0	0.974302119458221
ELF1	PS 16:1;0_18:0;0	0.974102655193887
E2F3	PE 16:0;0_16:1;0	-0.973867334398752
ESR2	PC 16:0;0_16:1;0	0.973649604923038
E2F7	PE 16:0;0_16:1;0	-0.973251224745402
NR1H2	PC 16:0;0_16:0;0	0.973040511065281
