"tf" "lipid" "cor"
"TFAP2A" "LPC 16:0;0" 0.999717071336406
"WT1" "LPC 16:0;0" -0.999472082405996
"RUNX1" "LPI 18:0;0" 0.999308086874375
"PBX2" "LPI 18:0;0" 0.99890213257436
"RUNX1" "PI 16:0;0_16:1;0" 0.998836888004935
"E2F4" "PC 16:0;0_16:1;0" -0.998620261750946
"E2F1" "LPE 18:0;0" -0.998530893460785
"PBX2" "PI 16:0;0_16:1;0" 0.998526558965252
"ZFP217" "PC 16:0;0_16:1;0" 0.998415602858307
"IRF4" "LPI 18:0;0" 0.998379927865694
"RARA" "LPI 18:0;0" 0.998379656512555
"MAFB" "PC 16:0;0_16:1;0" 0.998360024911998
"YY1" "PS 16:1;0_18:0;0" -0.997933875450104
"MAFK" "PC 16:0;0_16:1;0" 0.997838611530173
"NFE2L1" "LPI 18:0;0" 0.997821134764465
"MITF" "LPC 16:0;0" -0.997584833836089
"ATF6" "PC 16:0;0_16:0;0" 0.997519302865182
"SREBF1" "LPE 18:0;0" 0.997482710502231
"MEF2B" "LPE 18:0;0" 0.997365598773341
"FOXM1" "LPE 18:0;0" -0.996912483844258
"WT1" "PC 16:0;0_16:1;0" -0.996641363388774
"RARA" "PI 16:0;0_16:1;0" 0.996639098446794
"BATF" "PC 16:0;0_16:0;0" 0.996527047831398
"TFDP1" "PS 16:1;0_18:0;0" -0.996473385895863
"MEF2B" "PS 16:1;0_18:0;0" 0.996450494728277
"IRF4" "LPE 18:0;0" 0.996269664206829
"IRF4" "PI 16:0;0_16:1;0" 0.995959367069802
"HNF4A" "LPI 18:0;0" 0.995944084212403
"NFE2L1" "PI 16:0;0_16:1;0" 0.995809300594355
"SREBF2" "PI 16:0;0_16:1;0" 0.995761057635634
"ETS2" "LPI 18:0;0" -0.995713090871259
"SREBF2" "LPI 18:0;0" 0.995624392403145
"HNF4A" "PI 16:0;0_16:1;0" 0.995341345004062
"NFE2L1" "LPE 18:0;0" 0.9952344879621
"MITF" "PC 16:0;0_16:1;0" -0.995033389886252
"YY1" "LPE 18:0;0" -0.994990152742232
"WT1" "PE 16:0;0_16:1;0" -0.994974782821329
"ZFP217" "LPC 16:0;0" 0.994754531710269
"FOXP2" "LPC 16:0;0" -0.994727959928735
"HBP1" "LPC 16:0;0" -0.994350252536566
"ELF3" "PC 16:0;0_16:0;0" 0.994349859625273
"ETV1" "PE 16:0;0_16:1;0" -0.994342128176936
"MAFB" "LPC 16:0;0" 0.994031107238341
"ETS2" "LPE 18:0;0" -0.994019949819314
"E2F7" "DAG 16:0;0_16:0;0" -0.993854729463913
"HINFP" "LPE 18:0;0" -0.993740481532053
"ZFP217" "PE 16:0;0_16:1;0" 0.99366601528828
"ETS2" "PI 16:0;0_16:1;0" -0.993659728167997
"E2F4" "PE 16:0;0_16:1;0" -0.993590032539115
"E2F1" "PS 16:1;0_18:0;0" -0.993589536982089
"HINFP" "PC 16:0;0_16:1;0" -0.993493717196159
"MAFB" "PE 16:0;0_16:1;0" 0.993336364852554
"MBD1" "PC 16:0;0_16:0;0" 0.993051684221924
"ATF3" "DAG 16:0;0_16:0;0" -0.993004646906717
"MYC" "DAG 16:0;0_16:0;0" -0.99271894137901
"RARA" "LPE 18:0;0" 0.992608560935667
"FOXM1" "PC 16:0;0_16:1;0" -0.992509123434176
"PAX8" "DAG 16:0;0_16:0;0" -0.992369881622335
"MAFK" "PE 16:0;0_16:1;0" 0.991864652319445
"TFAP2A" "PC 16:0;0_16:1;0" 0.991800998806433
"TFAP2A" "PE 16:0;0_16:1;0" 0.991394760154618
"NFE2" "DAG 16:0;0_16:0;0" 0.991331008701645
"SRF" "PC 16:0;0_16:1;0" -0.991246456174812
"E2F2" "LPC 16:0;0" -0.990916006302143
"MITF" "PE 16:0;0_16:1;0" -0.990676732224265
"SREBF1" "PS 16:1;0_18:0;0" 0.99060676916824
"E2F2" "PC 16:0;0_16:1;0" -0.990551939216986
"SREBF1" "PC 16:0;0_16:1;0" 0.990462023196697
"ESR2" "LPC 16:0;0" 0.99036557311853
"MAFK" "LPC 16:0;0" 0.990341045588077
"NEUROD1" "DAG 16:0;0_16:0;0" -0.990288925440196
"ELF1" "PC 16:0;0_16:1;0" 0.990131151432368
"RUNX1" "LPE 18:0;0" 0.990034430252901
"E2F4" "LPC 16:0;0" -0.98999469303182
"ETV1" "PC 16:0;0_16:1;0" -0.989611335493068
"IKZF1" "PS 16:1;0_18:0;0" 0.988739563779305
"LEF1" "PS 16:1;0_18:0;0" -0.988159275491374
"FOXM1" "PE 16:0;0_16:1;0" -0.987997733597444
"HOXB13" "PC 16:0;0_16:0;0" 0.987930459051098
"HINFP" "PS 16:1;0_18:0;0" -0.987839002961701
"MEF2A" "LPC 16:0;0" 0.98771626747403
"SP4" "PC 16:0;0_16:0;0" 0.987617967051699
"PBX2" "LPE 18:0;0" 0.987392059950091
"ETS2" "PC 16:0;0_16:1;0" -0.987262509290077
"FOXM1" "LPI 18:0;0" -0.987220802313938
"ETS2" "PE 16:0;0_16:1;0" -0.987081045159429
"E2F3" "LPC 16:0;0" -0.986845005986965
"ETV1" "LPI 18:0;0" -0.986784089026492
"E2F1" "PC 16:0;0_16:1;0" -0.986677867659556
"POU2F1" "DAG 16:0;0_16:0;0" 0.986677104866882
"ETV1" "PI 16:0;0_16:1;0" -0.986660391595389
"BCL11A" "DAG 16:0;0_16:0;0" 0.986329887034667
"HINFP" "PE 16:0;0_16:1;0" -0.986171099232647
"TCF3" "PC 16:0;0_16:1;0" -0.986066247950358
"SRF" "LPC 16:0;0" -0.986000117225844
"HBP1" "PC 16:0;0_16:1;0" -0.985877797914022
"FOXM1" "PS 16:1;0_18:0;0" -0.985837503534939
"TFDP1" "LPE 18:0;0" -0.985609459672554
"E2F4" "LPE 18:0;0" -0.985207528052934
"EGR1" "PC 16:0;0_16:0;0" 0.98520364946435
"TCF7L2" "LPC 16:0;0" -0.985090549430111
"PROX1" "PC 16:0;0_16:0;0" 0.984546684447877
"HNF4A" "LPE 18:0;0" 0.984458312845243
"AR" "PC 16:0;0_16:0;0" 0.984184514660069
"ELF1" "LPC 16:0;0" 0.984144293498633
"SMAD1" "PC 16:0;0_16:0;0" 0.984080958050401
"E2F3" "PC 16:0;0_16:1;0" -0.983906225217632
"SREBF1" "PE 16:0;0_16:1;0" 0.98370839541812
"E2F1" "LPI 18:0;0" -0.983433116317775
"LEF1" "LPE 18:0;0" -0.983399522971978
"SPIB" "LPC 16:0;0" 0.983385539723319
"SOX6" "PS 16:1;0_18:0;0" 0.98337853690467
"LEF1" "PC 16:0;0_16:1;0" -0.983273103458197
